account,金額
資産の部,
(流動資産),
現金及び預金,"40,204,811"
前払費用,"413,449"
短期貸付金,"15,000,000"
流動資産合計,"55,618,260"
(固定資産),
(有形固定資産),
建物,"101,961,749"
構築物,"461,459"
土地,"77,122,786"
有形固定資産合計,"179,545,994"
(無形固定資産),
電話加入権,"324,479"
無形固定資産合計,"324,479"
(投資その他の資産),
投資有価証券,"19,230,000"
投資その他の資産合計,"19,230,000"
固定資産合計,"199,100,473"
資産の部合計,"254,718,733"
負債の部,
(流動負債),
未払費用,"320,261"
預り金,"1,075,970"
未払法人税等,"335,300"
未払消費税等,"797,500"
流動負債合計,"2,529,031"
(固定負債),
預り保証金,"3,000,000"
固定負債合計,"3,000,000"
負債の部合計,"5,529,031"
純資産の部,
(株主資本),
(資本金),
資本金,"6,000,000"
資本金合計,"6,000,000"
(利益剰余金),
利益準備金,"1,500,000"
