account,金額_0,金額_1
科目,,
旅費交通費,"1,078,123",
広告宣伝費,"559,911",
折込料,"11,527,934",
運賃,"534,894",
販売促進費,"205,055",
役員報酬,"28,440,000",
従業員給与,"15,813,180",
従業員賞与,"707,000",
法定福利費,"5,031,569",
福利厚生費,"500,864",
減価償却費,"4,726,278",
リース料,"35,000",
地代家賃,"932,729",
修繕費,"206,300",
事務用消耗品費,"880,419",
通信費,"1,586,782",
水道光熱費,"417,359",
租税公課,"902,800",
寄付金,"30,000",
接待交際費,"2,163,438",
保険料,"2,436,511",
備品消耗費,"1,667,697",
管理諸費,"1,430,400",
車輌関連費,"3,787,413",
支払手数料,"633,141",
諸会費,"1,538,821",
割引金繰入額,"213,000",
雑費,"819,993",
合計,"88,806,611",
科目,,
製品,,"2,173,425"
原材料,,"1,320,673"
仕掛品(半成品),,"3,096,904"
貯蔵品,,"204,132"
合計,,"6,795,134"
