"account","金額_0","金額_1"
"荷造運賃","36,226,932",""
"倉庫費","28,097,504",""
"役員報酬","30,900,000",""
"給与手当","78,849,859",""
"賞与","5,505,500",""
"退職金","3,041,000",""
"委託費","3,027,599",""
"法定福利費","17,943,721",""
"厚生費","1,480,988",""
"賃借料","8,991,985",""
"修繕費","7,962,327",""
"消耗品費","7,555,202",""
"水道光熱費","16,549,831",""
"旅費交通費","13,380,121",""
"手数料","13,111,590",""
"租税公課","12,312,418",""
"交際接待費","5,540,716",""
"保険料","5,227,499",""
"通信費","2,811,403",""
"諸会費","79,200",""
"会議費","1,297",""
"貸倒引当金繰入","3,000,000",""
"管理費","836,414",""
"雑費","12,324,784",""
"販売費及び一般管理費合計","","314,757,890"
