account,amount_0,amount_1
(純売上高),,
メンテナンス収入,"1,710,000",
鋼材販売高,"410,308,227",
鍛工品収入,"120,451,385",
その他の収入,"14,542,908","547,012,520"
(売上原価),,
鋼材仕入高,"397,595,174",
鍛工品仕入高,"116,838,869",
減価償却費,"4,789,953",
製造原価,"6,331,503",
合計,"525,555,499","525,555,499"
売上総利益,,"-21,457,021"
(販売費及び一般管理費),,"22,208,896"
営業損失,,"-751,875"
(営業外収益),,
受取利息,243,
貸倒引当金戻入,"130,000",
雑収入,"6,126,045","6,256,288"
(営業外費用),,
支払利息,"1,888,692",
雑損失,"5,494,942","7,383,634"
経常損失,,"-1,879,221"
(特別損失),,
役員退職金,"3,500,000","3,500,000"
税引前当期損失,,"-5,379,221"
法人税住民税及事業税,,"71,709"
当期損失,,"-5,450,930"
