account,金額
(流動資産),"54,940,602"
現金及び預金,"19,462,421"
未収収益,"2,780,644"
未収入金,"32,697,456"
未収還付税金,81
(固定資産),"1,629,025,975"
(投資その他の資産),"1,629,025,975"
関係会社株式,"1,187,780,100"
出資金,"10,000"
長期貸付金,"440,000,000"
繰延消費税額等,"1,235,875"
資産の部合計,"1,683,966,577"
(流動負債),"299,200"
未払金,"2,100"
未払法人税等,"71,000"
未払消費税等,"226,100"
(固定負債),"1,468,000,000"
長期借入金,"1,468,000,000"
負債の部合計,"1,468,299,200"
(株主資本),"215,667,377"
資本金,"100,000"
利益剰余金,"215,567,377"
その他利益剰余金,"215,567,377"
繰越利益剰余金,"215,567,377"
純資産の部合計,"215,667,377"
負債及び純資産合計,"1,683,966,577"
