account,金額
(流動資産),"(109,195,314)"
現金,"73,633"
預金,"59,776,156"
売掛金,"42,018,327"
商品,"5,765,519"
製品,"1,498,320"
前払費用,"62,550"
未収入金,809
(固定資産),"(75,550,738)"
(有形固定資産),"(71,909,897)"
建物,"1,555,242"
建物付属設備,"112,521"
構築物,"96,153"
機械装置,"18,338,010"
車輌運搬具,"5,681,173"
工具器具備品,"109,498"
土地,"46,017,300"
(無形固定資産),"(148,490)"
電話加入権,"148,490"
(投資等),"(3,492,351)"
出資金,"10,000"
投資有価証券,"2,821,000"
差入保証金,"500,000"
繰延税金資産,"161,351"
(流動負債),"(35,642,501)"
買掛金,"20,099,401"
未払金,"3,153,838"
預り金,"808,962"
未払消費税,"4,456,700"
未払法人税等,"7,123,600"
(固定負債),"(43,000,000)"
長期借入金,"43,000,000"
負債合計,"78,642,501"
(株主資本),"(106,422,700)"
資本金,"88,000,000"
利益剰余金,"18,422,700"
利益準備金,"725,000"
繰越利益剰余金,"17,697,700"
(評価・換算差額等),"(-319,149)"
その他有価証券評価差額金,"-319,149"
純資産合計,"106,103,551"
資産合計,"184,746,052"
負債・純資産合計,"184,746,052"
