account,金額
(流動資産),"2,452,677,678"
現金・預金,"1,824,026,013"
売掛金,"480,757,358"
商品・製品,"48,210,056"
貯蔵品,"5,976,620"
前払費用,"34,604,160"
前払利息,"176,153"
未収入金,"56,082,409"
未収利息,"216,867"
立替金,"2,543,336"
仮払金,"84,706"
(固定資産),"1,431,867,112"
(有形固定資産),"787,338,090"
建物,"303,809,318"
建物減価償却累計額,"-179,460,653"
建物減損損失累計額,"-36,553,303"
建物附属設備,"1,026,394,110"
建物附属設備減価償却累計額,"-431,644,792"
建物附属設備減損損失累計額,"-93,773,652"
構築物,"826,517"
構築物減価償却累計額,"-491,480"
構築物減損損失累計額,"-335,036"
工具器具備品,"358,389,040"
備品減価償却累計額,"-274,026,798"
備品減損損失累計額,"-19,608,988"
リース資産,"53,911,268"
リース資産減価償却累計額,"-44,955,580"
除去債務資産,"256,013,247"
除去債務資産減価償却累計額,"-123,343,757"
除去債務資産減損損失累計額,"-19,735,575"
他有形固定資産,"11,924,204"
(無形固定資産),"870,002"
ソフトウェア,"870,002"
(投資その他の資産),"643,659,020"
子会社株式,"100,000,000"
出資金,"184,000"
長期前払費用,"11,638,521"
繰延税金資産,"119,978,500"
差入保証金,"402,117,309"
予約金,"9,726,000"
長期未収金,"1,070,132"
リサイクル預託金,"14,690"
貸倒引当金,"-1,070,132"
資産合計,"3,884,544,790"
(流動負債),"1,472,495,335"
買掛金,"347,275,137"
短期借入金,"157,500,000"
一年内返済長期借入金,"97,116,000"
未払金,"166,457,281"
未払法人税等,"251,783,000"
未払費用,"180,534,024"
未払消費税等,"163,889,200"
短期リース債務,"9,201,154"
前受金,"55,335,791"
預り金,"26,583,429"
前受収益,"2,322,334"
仮受金,"734,985"
賞与引当金,"13,763,000"
(固定負債),"1,064,817,156"
長期借入金,"754,501,500"
長期リース債務,"1,619,896"
資産除去債務,"260,787,440"
預り保証金,"47,908,320"
負債合計,"2,537,312,491"
(株主資本),"1,347,232,299"
資本金,"30,000,000"
利益剰余金,"1,317,232,299"
利益準備金,"7,500,000"
(その他利益剰余金),"1,309,732,299"
繰越利益剰余金,"1,309,732,299"
純資産合計,"1,347,232,299"
負債・純資産合計,"3,884,544,790"
