regex	replace_char
鬼怒ツ	鬼怒川
ツ治	川治

#群馬県#	#群馬県#
渋ツ	渋川
榛束	榛東
束吾妻	東吾妻
中え条	中之条
ツ場	川場

#埼玉県#	#埼玉県#
ツ越	川越
[ツ川][ロ口]	川口
束松山	東松山
入問	入間
志[ホ不]	志木
桶ツ	桶川
欠喜	久喜
ハ潮	八潮
[シミ]郷	三郷
鶴ケ島	鶴ヶ島
吉ツ	吉川
[シミ]芳	三芳
小ツ	小川
ツ島	川島
神ツ	神川
束秩父	東秩父
大官	大宮

#千葉県#	#千葉県#
市ツ	市川
鴨ツ	鴨川
束金	東金
鎌ヶ谷	鎌ケ谷
袖ヶ浦	袖ケ浦
ハ街	八街
束庄	東庄
酒[ロ口久欠]井	酒々井

#東京都#	#東京都#
[チ干]代田	千代田
台束	台東
江束	江東
品ツ	品川
荒ツ	荒川
練駆	練馬区
江戸ツ	江戸川
[ハ八][王玉]子	八王子
立ツ	立川
[シミ三][雀腐]	三鷹
束村山	東村山
束大和	東大和
欠留米	久留米
束久留米	東久留米
羽材	羽村
ハ丈	八丈
青ケ島	青ヶ島
秋ツ	秋川
代[ロ口久欠][ホ不木]	代々木
等[ロ口久欠][カ力]	等々力
六本[ホ不]	六本木
四ツ[ホ不]	四ツ木
[シミ]軒茶屋	三軒茶屋
[シミ]ノ輪	三ノ輪
[シミ]田	三田
束中野	東中野
束上野	東上野
束新橋	東新橋
束池袋	東池袋
束五反田	東五反田
束雲	東雲
[チ干]住	千住
[チ干]束	千束
[芳芽]場町	茅場町
日本椅	日本橋
月本橋	日本橋
犬手町	大手町
九の内	丸の内

#神奈川県#	#神奈川県#
ツ崎	川崎
茅ケ崎	茅ヶ崎
[シミ]浦	三浦
厚[ホ不]	厚木
[シミ]崎	三崎
座問	座間
寒ツ	寒川
[ニ二][官宮]	二宮
愛ツ	愛川
清ツ	清川
束神奈川	東神奈川
桜[ホ不]	桜木
溝ロ	溝口

#新潟県#	#新潟県#
小[チ干]谷	小千谷
材上	村上
糸魚ツ	糸魚川
関ツ	関川

#富山県#	#富山県#
滑ツ	滑川

#石川県#	#石川県#
野[ロ口久欠]市	野々市
ツ北	川北

#福井県#	#福井県#

#山梨県#	#山梨県#
甲奨	甲斐
早ツ	早川
河ロ	河口

#長野県#	#長野県#
駒ケ根	駒ヶ根
芽野	茅野
佐欠	佐久
[チ干]曲	千曲
束御	東御
ツ上	川上
相[ホ不]	相木
青[ホ不]	青木
中ツ	中川
松ツ	松川
売[ホ不]	売木
喬[ホ不]	喬木
[ホ不]曽	木曽
[ホ不]祖	木祖
[ホ不]島	木島

#岐阜県#	#岐阜県#
津ツ	津川
士岐	土岐
関ヶ原	関ケ原
輪え内	輪之内
安ハ	安八
揖斐ツ	揖斐川
ツ辺	川辺
ハ百	八百
白ツ	白川
束白川	東白川

#静岡県#	#静岡県#
伊束	伊東
掛ツ	掛川
牧え原	牧之原
束伊豆	東伊豆
菊ツ	菊川
ツ根	川根

#愛知県#	#愛知県#
豊ツ	豊川
長欠手	長久手
束郷	東郷
大ロ	大口
阿欠比	阿久比
束浦	東浦
束栄	東栄
束山	東山
名束	名東

#三重県#	#三重県#
束員	東員

#滋賀県#	#滋賀県#
犬津	大津
栗束	栗東
束近江	東近江

#京都府#	#京都府#
[ホ不]津	木津
束野	東野
原ロ	原口
堀ツ	堀川
欠御山	久御山
条鳥丸	条烏丸
鳥丸通	烏丸通
鳥丸御池	烏丸御池
槇鳥	槇島

#大阪府#	#大阪府#
守ロ	守口
茨[ホ不]	茨木
ハ尾	八尾
寝屋ツ	寝屋川
大束	大東
束大阪	東大阪
[チ干]早	千早
淀ツ	淀川
束淀川	東淀川
束成	東成
城束	城東
束住吉	東住吉
十[シミ]	十三
森え宮	森之宮
浜ロ	浜口

#兵庫県#	#兵庫県#
西[官宮]	西宮
加古ツ	加古川
[シミ三][ホ不木]	三木
加束	加東
猪名ツ	猪名川
束灘	東灘
[シミ三][官宮]	三宮

#奈良県#	#奈良県#
[シミ]宅	三宅
天ツ	天川
野迫ツ	野迫川
束吉野	東吉野

#和歌山#	#和歌山#
紀のツ	紀の川
広ツ	広川
有田ツ	有田川
日高ツ	日高川
古座ツ	古座川

#鳥取県#	#鳥取県#
ハ頭	八頭
[シミ]朝	三朝

#島根県#	#島根県#
ツ本	川本

#岡山県#	#岡山県
浅ロ	浅口

#広島県#	#広島県#
[シミ]原	三原
[シミ]次	三次
束広島	東広島
束城	東城
宮島ロ	宮島口

#山口県#	#山口県#
和[ホ不]	和木

#徳島県#	#徳島県#
吉野ツ	吉野川
[シミ]好	三好
束みよし	東みよし

#香川県#	#香川県#
束かがわ	東かがわ
[シミ]豊	三豊
綾ツ	綾川
詫問	詫間

#愛媛県#	#愛媛県#
束温	東温
欠万	久万
ツ之江	川之江

#高知県#	#高知県#
束洋	東洋
大ツ	大川
佐ツ	佐川
[こニ]又	二又
上[ハ八][ツ川]	上八川

#福岡県#	#福岡県#
田ツ	田川
柳ツ	柳川
ハ女	八女
中問	中間
欠山	久山
桂ツ	桂川
束峰	東峰
八幡束	八幡東

#佐賀県#	#佐賀県#
多欠	多久
吉野ケ里	吉野ヶ里

#長崎県#	#長崎県#
束彼杵	東彼杵
ツ棚	川棚

#熊本県#	#熊本県#
ハ代	八代
玉束	玉東
氷ツ	氷川
津奈[ホ不]	津奈木
多良[ホ不]	多良木
五[ホ不]	五木
植[ホ不]	植木

#大分県#	#大分県#
津欠見	津久見
国束	国東

#宮崎県#	#宮崎県#
串問	串間
[シミ]股	三股
[ホ不]城	木城
ツ南	川南
門ツ	門川
高[チ干]穂	高千穂
日え影	日之影
五ケ瀬	五ヶ瀬

#鹿児島県#	#鹿児島県#
阿欠根	阿久根
西え表	西之表
串[ホ不]野	串木野
屋欠島	屋久島
徳え島	徳之島

#沖縄県#	#沖縄県#
らるま市	うるま市
[浦捕][添恭]市	浦添市
座問味	座間味
欠米	久米
ハ重	八重
多良問	多良間
宮古鳥	宮古島

#字誤読#	#字誤読#
区宇	区字
市宇	市字
町宇	町字
村宇	村字
大宇	大字

字賀浦	宇賀浦
渚滑町字津々	渚滑町宇津々
深川市字摩	深川市宇摩
字園別	宇園別
字曽丹	宇曽丹
字津内	宇津内
字遠内	宇遠内
字道坂	宇道坂
字部町	宇部町
興部町字津	興部町宇津
厚真町字隆	厚真町宇隆
むつ市字田町	むつ市宇田町
一関市字南	一関市宇南
字留部	宇留部
一戸町字別	一戸町宇別
字田川町	宇田川町
字留院内	宇留院内
字治木	宇治木
字津沢	宇津沢
会津坂下町字内	会津坂下町宇内
石岡市字治会	石岡市宇治会
字留野	宇留野
行方市字崎	行方市宇崎
大田原市字田川	大田原市宇田川
字都野	宇都野
那須烏山市字井	那須烏山市宇井
字楚井町	宇楚井町
富岡市字田	富岡市宇田
玉村町字貫	玉村町宇貫
字那谷町	宇那谷町
富津市字藤原	富津市宇藤原
千倉町字田	千倉町宇田
字筒原	宇筒原
字奈根	宇奈根
渚滑町字津々	渚滑町宇津々
字喜田町	宇喜田町
字津木町	宇津木町
字津貫町	宇津貫町
字津尾	宇津尾
牧区字津俣	牧区宇津俣
魚沼市字津野	魚沼市宇津野
氷見市字波	氷見市宇波
字奈月	宇奈月
字治新	宇治新
三崎町字治	三崎町宇治
若山町字都山	若山町宇都山
字谷町	宇谷町
曾字町	曾宇町
字土野町	宇土野町
かほく市字気	かほく市宇気
かほく市字野気	かほく市宇野気
穴水町字加川	穴水町宇加川
字留地	宇留地
字加塚	宇加塚
字出津	宇出津
字坂大谷町	宇坂大谷町
字坂別所町	宇坂別所町
小浜市字久	小浜市宇久
丸岡町字随	丸岡町宇随
丸岡町字田	丸岡町宇田
字須尾	宇須尾
越前町字田	越前町宇田
字津谷	宇津谷
立科町字山	立科町宇山
岐阜市字佐	岐阜市宇佐
国府町字津江	国府町宇津江
武芸川町字多院	武芸川町宇多院
養老町字田	養老町宇田
字津ノ谷	宇津ノ谷
雄踏町字布見	雄踏町宇布見
三ヶ日町字志	三ヶ日町宇志
字佐美	宇佐美
富士市字東川	富士市宇東川
字兵衛新田	宇兵衛新田
袋井市字刈	袋井市宇刈
字土金	宇土金
字久須	宇久須
岡崎市字頭	岡崎市宇頭
字治町	宇治町
字連野町	宇連野町
字頭茶屋町	宇頭茶屋町
字津江町	宇津江町
字福寺	宇福寺
伊勢市字治	伊勢市宇治
員弁町字野	員弁町宇野
大安町字賀	大安町宇賀
彦根市字尾町	彦根市宇尾町
高月町字根	高月町宇根
字津呂町	宇津呂町
水口町字川	水口町宇川
水口町字田	水口町宇田
字賀野	宇賀野
右京区字多野	右京区宇多野
宇治市字治	宇治市宇治
字津根町	宇津根町
池田市字保町	池田市宇保町
泉大津市字多	泉大津市宇多
枚方市字山	枚方市宇山
茨木市字野辺	茨木市宇野辺
寝屋川市字谷町	寝屋川市宇谷町
白浜町字佐崎	白浜町宇佐崎
洲本市字原	洲本市宇原
洲本市字山	洲本市宇山
竹野町字日	竹野町宇日
丹波篠山市字土	丹波篠山市宇土
宍粟市山崎町字野	宍粟市山崎町宇野
宍粟市山崎町字原	宍粟市山崎町宇原
上郡町字治山	上郡町宇治山
上郡町字野山	上郡町宇野山
佐用町字根	佐用町宇根
五條市字野町	五條市宇野町
大塔町字井	大塔町宇井
十津川村字宮原	十津川村宇宮原
和歌山市字治	和歌山市宇治
和歌山市字須	和歌山市宇須
和歌山市字田森	和歌山市宇田森
有田川町字井苔	有田川町宇井苔
白浜町字津木	白浜町宇津木
那智勝浦町字久井	那智勝浦町宇久井
古座川町字津木	古座川町宇津木
古座川町字筒井	古座川町宇筒井
岩美町字治	岩美町宇治
智頭町字波	智頭町宇波
湯梨浜町字谷	湯梨浜町宇谷
湯梨浜町字野	湯梨浜町宇野
伯耆町字代	伯耆町宇代
浜田市字津井町	浜田市宇津井町
浜田市字野町	浜田市宇野町
金城町字津井	金城町宇津井
字那手町	宇那手町
大社町字龍	大社町宇龍
美都町字津川	美都町宇津川
字賀荘町	宇賀荘町
広瀬町字波	広瀬町宇波
加茂町字治	加茂町宇治
木次町字谷	木次町宇谷
邑南町字都井	邑南町宇都井
字受賀	宇受賀
西ノ島町字賀	西ノ島町宇賀
加茂町字野	加茂町宇野
玉野市字藤木	玉野市宇藤木
玉野市字野	玉野市宇野
美星町字戸	美星町宇戸
芳井町字戸川	芳井町宇戸川
総社市字山	総社市宇山
高梁市字治町	高梁市宇治町
和気町字生	和気町宇生
矢掛町字角	矢掛町宇角
矢掛町字内	矢掛町宇内
広島市南区字品	広島市南区宇品
春日町字山	春日町宇山
甲奴町字賀	甲奴町宇賀
河内町字山	河内町宇山
世羅町字津戸	世羅町宇津戸
下関市字津井	下関市宇津井
下関市字部	下関市宇部
豊浦町字賀	豊浦町宇賀
豊田町字内	豊田町宇内
錦町字佐	錦町宇佐
本郷町字塚	本郷町宇塚
平生町字佐木	平生町宇佐木
阿武町字田	阿武町宇田
阿武町字生賀	阿武町宇生賀
松山市字和間	松山市宇和間
新居浜市字高町	新居浜市宇高町
字和川	宇和川
菅田町字津	菅田町宇津
西予市字和町	西予市宇和町
高知市字津野	高知市宇津野
土佐市字佐町	土佐市宇佐町
宇佐町字佐	宇佐町宇佐
宿毛市字須々木	宿毛市宇須々木
小倉北区字佐町	小倉北区宇佐町
字田川原	宇田川原
豊前市字島	豊前市宇島
宇美町字美	宇美町宇美
上毛町字野	上毛町宇野
築上町字留津	築上町宇留津
唐津市字木	唐津市宇木
佐世保市字久町	佐世保市宇久町
島原市字土町	島原市宇土町
諫早市字都町	諫早市宇都町
山国町字曽	山国町宇曽
佐伯市字目	佐伯市宇目
清川町字田枝	清川町宇田枝
延岡市字和田町	延岡市宇和田町
鹿児島市字宿	鹿児島市宇宿
笠利町字宿	笠利町宇宿
宇検村字検	宇検村宇検
那覇市字栄原	那覇市宇栄原
宜野湾市字地泊	宜野湾市宇地泊
名護市字茂佐	名護市宇茂佐
糸満市字江城	糸満市宇江城
うるま市字堅	うるま市宇堅
国頭村字嘉	国頭村宇嘉
国頭村字良	国頭村宇良
読谷村字座	読谷村宇座
字江城	宇江城
久米島町字根	久米島町宇根
大字陀	大宇陀
