"種類","固定資産コード","原価区分(%)原・販・外","部門","名 称","構造・細目","償却方法","数量","事業供用年月日","処分年月日","(5%相当額)","取得価額","期首帳簿価額","償却基礎金額","耐用年数","償却率","償却期間","普通償却限度額","特別償却限度額","合計","当期償却額","償却累計額","期末帳簿価額","摘要"
"","","","","器具及び備品(200%定率法)","計","","","","","","563,753,325","10,144,810","130,118,077","","","","3,627,418","0","3,627,418","3,627,418","557,235,933 557,235,933","6,517,392",""
"","","","","","","","","","","【期末資産の取得価額】","563,753,325","【期中買入額】 0","【期中売却額】 0","","","","【売却損】 0","【売却益】 0","【除却時処分見込価額】 0","【除却損】 0","","",""
"","","","","","","","","","","","","【前期繰越超過】 3,067","","","","","","","","","","【次期繰越超過】 3,067",""
"","","","","","【器具及び備品(リース期間定額法)】","","","","","","","","","","","","","","","","","",""
"18","0000006056","100・0・0","000: 共通部門","三浦集中管理装置パソコン","ハ十ニリース","リース定額","1.00式","R3.2.1","","","1,494,000","398,400","1,494,000","5年","","12/60","298,800","","298,800","298,800","1,394,400","99,600",""
"","","","","器具及び備品(リース期間定額法)","計","","","","","","1,494,000","398,400","1,494,000","","","","298,800","0","298,800","298,800","1,394,400 1,394,400","99,600",""
"","","","","","","","","","","【期末資産の取得価額】","1,494,000","【期中買入額】 0","","","","","","","【解約・返還時簿価】 0","【解約損・売却損】 0","","",""
"","","","","","【ソフトウエア(リース期間定額法)】","","","","","","","","","","","","","","","","","",""
"39","0000000017","100・0・0","000: 共通部門","三浦集中管理装置ソフトウェア","ハ十ニリース","リース定額","1.00台","R3.2.1","","","3,966,000","1,057,600","3,966,000","5年","","12/60","793,200","","793,200","793,200","3,701,600","264,400",""
"","","","","ソフトウエア(リース期間定額法)","計","","","","","","3,966,000","1,057,600","3,966,000","","","","793,200","0","793,200","793,200","3,701,600 3,701,600","264,400",""
"","","","","","","","","","","【期末資産の取得価額】","3,966,000","【期中買入額】 0","","","","","","","【解約・返還時簿価】 0","【解約損・売却損】 0","","",""
"","","","","","(種類別合計)","","","","","","","","","","","","","","","","","",""
"","","","","","建物","","","","","","2,956,448,666","1,795,206,856","2,898,270,465","","","","94,185,514","0","94,185,514","94,185,514","1,253,377,324 1,253,377,324","1,703,071,342",""
"","","","","","建物附属設備","","","","","","1,219,178,505","346,863,089","737,487,518","","","","48,757,967","0","48,757,967","48,757,967","850,981,033 850,981,033","368,197,472",""
"","","","","","構築物","","","","","","116,611,513","22,715,084","46,797,407","","","","3,118,452","0","3,118,452","3,118,452","96,651,245 96,651,245","19,960,268",""
"","","","","","機械及び装置","","","","","","1,993,228,331","169,960,290","493,922,546","","","","61,677,342","0","61,677,342","61,561,657","1,856,168,532 1,879,225,778","114,002,543",""
"","","","","","車両及び運搬具","","","","","","101,637,514","3,373,487","19,967,733","","","","3,336,536","0","3,336,536","3,336,536","100,041,563 100,041,563","1,595,951",""
"","","","","","器具及び備品","","","","","","817,997,929","10,543,218","137,439,021","","","","3,926,218","0","3,926,218","3,926,218","811,380,929 811,380,929","6,617,000",""
"","","","","","ソフトウエア","","","","","","3,966,000","1,057,600","3,966,000","","","","793,200","0","793,200","793,200","3,701,600 3,701,600","264,400",""
"","","","","","合計","","","","","","7,209,068,458","2,349,719,624","4,337,850,690","","","","215,795,229","0","215,795,229","215,679,544","4,972,302,226 4,995,359,472","2,213,708,976",""
