"資産コード 勘定 償却方法","資産名 資産区分","場所","数量","増加事由","減少事由","事業供用日","増加日","減少日","取得価額","圧縮積立金","期首帳簿価額","残存価額","期中減少額","期中増加額","償却可能限度/保証","期首償却過不足","償却基礎額","耐用年数","償却率","償却月数","算出償却額","増加償却額","当期償却限度額","割増償却額","特別償却額","当期償却額","積立金取崩額","期末積立金額","期末帳簿価額","繰越超過額","繰越不足額","償却累計額","営業外費用","製造原価","販管費"
"0700050031 器具・備品 旧定率法","応接セット 所有資産","小布施町","1","","償却済","昭53.1.31","","","218,500","","1","21,850","","","1","","10,925","5","","","","","","","","0","","","1","","","218,499","","",""
"0700080041 器具・備品 旧定率法","大高ケース 所有資産","小布施町","1","","償却済","昭53.2.28","","","414,000","","1","41,400","","","1","","20,700","8","","","","","","","","0","","","1","","","413,999","","",""
"0700080071 器具・備品 旧定率法","網戸 所有資産","小布施町","1","","償却済","昭53.6.30","","","163,360","","1","16,336","","","1","","8,168","8","","","","","","","","0","","","1","","","163,359","","",""
"0700150091 器具・備品 旧定率法","耐火ラテラルキャビネット 所有資産","小布施町","1","","償却済","昭59.4.30","","","203,500","","1","20,350","","","1","","10,175","15","","","","","","","","0","","","1","","","203,499","","",""
"0700100131 器具・備品 旧定率法","616型ビジネスホンE/VS 所有資産","小布施町","1","","償却済","平3.4.30","","","434,000","","1","43,400","","","1","","21,700","10","","","","","","","","0","","","1","","","433,999","","",""
"0700020131 器具・備品 旧定率法","池の鯉他 所有資産","小布施町","1","","償却済","平7.5.18","","","269,418","","1","26,941","","","1","","13,470","2","","","","","","","","0","","","1","","","269,417","","",""
"0700020141 器具・備品 旧定率法","池の鯉他 所有資産","小布施町","1","","償却済","平7.6.5","","","174,758","","1","17,475","","","1","","8,737","2","","","","","","","","0","","","1","","","174,757","","",""
"0700100141 器具・備品 200%定率法","クボタ除雪機SLA1070ST 所有資産","小布施町","1台","","","令5.1.23","","","526,364","","414,074","0","","","34,487","","414,074","10","0.200","12","82,814","","82,814","","","82,814","","","331,260","","","195,104","","","82,814"
"0700060011 器具・備品 200%定率法","床置きエアコン(店舗) 所有資産","小布施町","1台","","","令5.10.1","","","515,000","","457,835","0","","","51,041","","457,835","6","0.333","12","152,459","","152,459","","","152,459","","","305,376","","","209,624","","","152,459"
"0700060021 器具・備品 200%定率法","エアコン(応接室) 所有資産","小布施町","1台","","","令5.10.1","","","279,000","","248,031","0","","","27,651","","248,031","6","0.333","12","82,594","","82,594","","","82,594","","","165,437","","","113,563","","","82,594"
"","期中除却・売却資産以外計","","","","","","","","3,419,500","","1,119,949","209,912","","","113,188","","1,224,895","","","","317,867","","317,867","","","317,867","","","802,082","","","2,617,418","","","317,867"
"","期中除却・売却資産計","","","","","","","","","","","0","","","0","","","","","","","","","","","0","","","0","","","","","",""
"07","***器具・備品計***","","","","","","","","3,419,500","","1,119,949","209,912","","","113,188","","1,224,895","","","","317,867","","317,867","","","317,867","","","802,082","","","2,617,418","","","317,867"
