"資産コード 勘定 償却方法","資産名 資産区分","場所","数量","増加事由","減少事由","事業供用日","増加日","減少日","取得価額","圧縮積立金","期首帳簿価額","残存価額","期中減少額","期中増加額","償却可能限度/保証","期首償却過不足","償却基礎額","耐用年数","償却率","償却月数","算出償却額","増加償却額","当期償却限度額","割増償却額","特別償却額","当期償却額","積立金取崩額","期末積立金額","期末帳簿価額","繰越超過額","繰越不足額","償却累計額","営業外費用","製造原価","販管費"
"2000000001 繰延資産(均等) 均等償却","大興電子通信(株) 勘定奉行クラウド移行初期 所有資産","小布施町","","","","令3.12.21","","","200,000","","113,334","0","","","0","","","60","","12","40,000","","40,000","","","40,000","","","73,334","","","126,666","","","40,000"
"","期中除却・売却資産以外計","","","","","","","","200,000","","113,334","0","","","0","","","","","","40,000","","40,000","","","40,000","","","73,334","","","126,666","","","40,000"
"","期中除却・売却資産計","","","","","","","","","","","0","","","0","","","","","","","","","","","0","","","0","","","","","",""
"18","***繰延資産(均等)計***","","","","","","","","200,000","","113,334","0","","","0","","","","","","40,000","","40,000","","","40,000","","","73,334","","","126,666","","","40,000"
"6600000021 什器.備品(少額) 200%定率法","電子レンジ,ガスオーブン 所有資産","小布施町","1","","償却済","平27.1,30","","","136,500","","","0","","","13,528","","","","","","","","","","","0","","","0","","","136,500","","",""
"6600000031 什器.備品(少額) 200%定率法","袖看板 所有資産","小布施町","1","","償却済","平27.66.30","","","135,000","","","0","","","14,580","","","","","","","","","","","0","","","0","","","135,000","","",""
"","期中除却・売却資産以外計","","","","","","","","271,500","","","0","","","28,108","","","","","","","","","","","0","","","0","","","271,500","","",""
"","期中除却・売却資産計","","","","","","","","","","","0","","","0","","","","","","","","","","","0","","","0","","","","","",""
"66","***什器,備品(少額)計***","","","","","","","","271,500","","","0","","","28,108","","","","","","","","","","","0","","","0","","","271,500","","",""
"","期中除却・売却資産以外計","","","","","","","","471,500","","113,334","0","","","28,108","","","","","","40,000","","40,000","","","40,000","","","73,334","","","398,166","","","40,000"
"","期中除却・売却資産計","","","","","","","","","","","0","","","0","","","","","","","","","","","0","","","0","","","","","",""
"","***合計***","","","","","","","","471,500","","113,334","0","","","28,108","","","","","","40,000","","40,000","","","40,000","","","73,334","","","398,166","","","40,000"
