"資産コード 勘定 償却方法","資産名 資産区分","場所","数量","増加事由","減少事由","事業供用日","増加日","減少日","取得価額","圧縮積立金","期首帳簿価額","残存価額","期中減少額","期中増加額","償却可能限度/保証","期首償却過不足","償却基礎額","耐用年数","償却率","償却月数","算出償却額","増加償却額","当期償却限度額","割増償却額","特別償却額","当期償却額","積立金取崩額","期末積立金額","期末帳簿価額","繰越超過額","繰越不足額","償却累計額","営業外費用","製造原価","販管費"
"","期中除却・売却資産以外計","","","","","","","","108,537,357","14,949,841","13,495,295","9,334,749","","","4,416,861","","15,866,650","","","","947,685","","947,685","","","947,685","","","12,547,610","","","95,989,747","","","947,685"
"","期中除却・売却資産計","","","","","","","","","","","0","","","0","","","","","","","","","","","0","","","0","","","","","",""
"01","***水建物計***","","","","","","","","108,537,357","14,949,841","13,495,295","9,334,749","","","4,416,861","","15,866,650","","","","947,685","","947,685","","","947,685","","","12,547,610","","","95,989,747","","","947,685"
"0200150011 建物附属設備 旧定率法","給排水設備 所有資産","小布施町","1","","償却済","昭53.2.28","","","4,033,840","","1","403,384","","","1","","201,692","15","","","","","","","","0","","","1","","","4,033,839","","",""
"0200150021 建物附属設備 旧定率法","暖房設備 所有資産","小布施町","1","","償却済","昭53.2.28","","","756,600","","1","75,660","","","1","","37,830","15","","","","","","","","0","","","1","","","756,599","","",""
"0200150031 建物附属設備 旧定率法","ガス工事 所有資産","小布施町","1","","償却済","昭53.2.28","","","255,700","","1","25,570","","","1","","12,785","15","","","","","","","","0","","","1","","","255,699","","",""
"0200150041 建物附属設備 旧定率法","電気工事 所有資産","小布施町","1","","償却済","昭53.2,28","","","2,658,288","","1","265,828","","","1","","132,914","15","","","","","","","","0","","","1","","","2,658,287","","",""
"0200150051 建物附属設備 旧定率法","排水ポンプ設置 所有資産","小布施町","1","","償却済","昭58.7.31","","","145,000","","1","14,500","","","1","","7,250","15","","","","","","","","0","","","1","","","144,999","","",""
"0200150061 建物附属設備 旧定率法","倉庫電気設備工事 所有資産","小布施町","1","","償却済","昭62.3.31","","","444,545","","1","44,454","","","1","","22,227","15","","","","","","","","0","","","1","","","444,544","","",""
"0200150071 建物附属設備 旧定率法","倉庫ルーフファン取付 所有資産","小布施町","1","","償却済","昭62.8.31","","","424,745","","1","42,474","","","1","","21,237","15","","","","","","","","0","","","1","","","424,744","","",""
"0200080081 建物附属設備 旧定率法","倉庫自動火災報知設備 所有資産","小布施町","1","","償却済","平3,10.31","","","649,300","","1","64,930","","","1","","32,465","8","","","","","","","","0","","","1","","","649,299","","",""
"0200150091 建物附属設備  旧定率(均)","倉庫電気設備工事 所有資産","小布施町","1","","","平5.1.31","","","468,447","","9,370","46,844","","","1","","23,422","15","0,142","12","4,684","","4,684","","","4,684","","","4,686","","","463,761","","","4,684"
"0200150101 建物附属設備 旧定率(均)","倉庫給排水設備 所有資産","小布施町","1","","","平5.3.31","","","390,777","","7,817","39,077","","","1","","19,538","15","0.142","12","3,907","","3,907","","","3,907","","","3,910","","","386,867","","","3,907"
