"科目・品目","減価償却資産の名称","数量","供用年月","耐用年数","償却率","取得価額","圧縮後取得価額","期首帳簿価額","償却基礎・改定額","当期増加金額","当期減少金額","償却月数","普通償却限度額","特別償却限度額","普通償却過不足","特別償却過不足","普通償却額","特別償却額","当期償却額","期末帳簿価額","期末償却累計額","摘要"
"30-00013","造成工事(多目的広場)","1","平成14.08","15","","2871204","","143560","143560","","","12","28711","","","","28711","","28711","114849","2756355","Q"
"00015","舗装工事","1","平成30.10","10","0.100","2083801","","1285011","2083801","","","12","208380","","","","208380","","208380","1076631","1007170","定額法"
"00016","駐車場拡張舗装工事","1","令和01.12","10","0.100","884520","","648648","884520","","","12","88452","","","","88452","","88452","560196","324324","定額法"
"00017","キャンプ場工事","1","令和04.10","30","0.034","26047137","16488047","16020886","16488047","","","12","560593","","","","560593","","560593","15460293","1027754","K 定額法"
"","*科目小計* TOTAL 14","","","","","48481934","38922844","18762803","20773838","","","","950627","","","","950627","","950627","17812176","21110668",""
"科目40","【機械及び装置】","","","","","","","","","","","","","","","","","","","","",""
"40-00006","除雪ドーザー(中古)","1","平成16.02","5","","3150000","","1","157500","","","12","","","","","","","","1","3149999","AQ"
"00007","ボイラー工事一式","1","平成18.09","5","","472500","","1","23625","","","12","","","","","","","","1","472499","AQ"
"00008","蒸気ボイラー取替工事蒸気ボイラー","1","平成26.11","15","0.143","1404000","","466713","466713","","","12","66739","","","","66739","","66739","399974","1004026","R"
"00009","蒸気ボイラー取り換え工事 中央エンジニア","1","令和05.04","15","0.133","1760000","","1760000","1232000","","","12","163856","528000","","","163856","528000","691856","1068144","691856","O"
"00010","薪ボイラー導入工事一式","1","令和05.09","15","0.133","3052500","","","3052500","3052500","","11","372150","915750","","915750","372150","","372150","2680350","372150","CEJX"
"","*科目小計* TOTAL 5","","","","","9839000","9839000","2226715","4932338","3052500","","","602745","1443750","","915750","602745","528000","1130745","4148470","5690530",""
"科目50","【車輌及び運搬具】","","","","","","","","","","","","","","","","","","","","",""
"50-00001","軽バンクリッパー","1","平成26.11","3","1,000","1305856","","1","112611","","","12","","","","","","","","1","1305855","AR"
"00002","マツダ 低床ダンプ","1","令和03.03","2","1.000","298000","","1","1","","","12","","","","","","","","1","297999","A"
"00003","セレナ 中古","1","令和04.11","2","1.000","345000","","86250","86250","","","12","86249","","","","86249","","86249","1","344999","A"
"00004","2tダンプ 中古","1","令和05.06","2","1.000","780000","","650000","650000","","","12","649999","","","","649999","","649999","1","779999","A"
"","*科目小計* TOTAL 4","","","","","2728856","2728856","736252","848862","","","","736248","","","","736248","","736248","4","2728852",""
"科目80","【器具及び備品】","","","","","","","","","","","","","","","","","","","","",""
"80-00001","そば釜","1","平成04.01","5","","373000","","1","28650","","","12","","","","","","","","1","572999","AQ"
"00002","食器棚","1","平成04.03","5","","125660","","1","6283","","","12","","","","","","","","1","125659","AQ"
"00003","ヤマジンステンフードBOX","1","平成04.03","5","","173000","","1","8650","","","12","","","","","","","","1","172999","AQ"
"00005","看板(多目的広場)","1","平成14.08","20","0.109","292504","","29185","29185","","","12","3181","","","","3181","","3181","26004","266500",""
"00007","ピザオーブン","1","平成18.09","5","","317100","","1","15855","","","12","","","","","","","","1","317099","AQ"
"00008","エアコン2台","2","令和03.06","6","0.333","599500","","266712","266712","","","12","88815","","","","88815","","88815","177897","421603",""
