"科目・品目","減価償却資産の名称","数量","供用年月","耐用年数","償却率","取得価額","圧縮後取得価額","期首帳簿価額","償却基礎・改定額","当期増加金額","当期減少金額","償却月数","普通償却限度額","特別償却限度額","普通償却過不足","特別償却過不足","普通償却額","特別償却額","当期償却額","期末帳簿価額","期末償却累計額","摘要"
"20-00007","給排水設備(浴場)","1","平成07.09","15","","581956","","1","29097","","","12","","","","","","","","1","581955","AQ"
"00008","電気設備(浴場)","1","平成07.09","15","","324000","","1","16200","","","12","","","","","","","","1","323999","AQ"
"00010","温泉用水中ポンプ(本体)","1","平成09.11","15","","811125","","8116","40556","","","12","8110","","","","8110","","8110","6","811119","Q"
"00011","温泉用水中ポンプ修理取替工事","1","平成12.12","15","","930300","","37213","46515","","","12","9302","","","","9302","","9302","27911","902389","Q"
"00012","上水用水中ポンプ","1","平成12.12","15","","241500","","9661","12075","","","12","2414","","","","2414","","2414","7247","234253","Q"
"00013","温泉ポンプ電気工事","1","平成12.12","15","","144808","","5793","7240","","","12","1447","","","","1447","","1447","4346","140462","Q"
"00014","ストレナー高圧清掃工事","1","平成18.09","15","0.142","472500","","52091","52091","","","12","7396","","","","7396","","7396","44695","427805",""
"00015","温泉用水中ポンプ取替修理","1","平成23.06","15","0.200","1974000","","297963","372453","","","12","74490","","","","74490","","74490","223473","1750527","R"
"00016","源泉ポンプ取替工事","1","平成26.10","15","0.133","756000","","286497","286497","","","12","38104","","","","38104","","38104","248393","507607",""
"00017","源泉ポンプ交換","1","平成29.02","15","0.067","723600","","505436","723600","","","12","48481","","","","48481","","48481","456955","266645","定額法"
"00018","休憩所建屋 給排水・電気工事","1","平成30.10","15","0.067","2899588","","2349151","2899588","","","12","194272","","","","194272","","194272","2154879","744709","定額法"
"00020","電気工事","1","令和04.05","15","0.067","445561","","415709","445561","","","12","29852","","","","29852","","29852","385857","59704","定額法"
"00021","温泉ポンプ工事","1","令和04.08","15","0.067","1043900","","973959","1043900","","","12","69941","","","","69941","","69941","904018","139882","定額法"
"","*科目小計* TOTAL 16","","","","","15717151","15717151","6014543","7286288","","","","560859","","","","560859","","560859","5453684","10263467",""
"科目30","【構築物】","","","","","","","","","","","","","","","","","","","","",""
"30-00001","","1","","","","","","","","","","12","","","","","","","","","","A"
"00003","浴槽","1","平成03.03","","","10","","10","10","","","12","","","","","","","","10","",""
"00004","浴槽","1","平成03.10","","","10","","10","10","","","12","","","","","","","","10","",""
"00005","緑化施設","1","平成04.07","20","","926100","","37045","46305","","","12","9260","","","","9260","","9260","27785","898315","Q"
"00007","アクセス道路","1","平成04.07","15","","5044202","","1","252210","","","12","","","","","","","","1","5044201","AQ"
"00008","水道施設工事一式","1","平成10.09","25","0.088","5670000","","627628","627628","","","12","55231","","","","55231","","55231","572397","5097603",""
"00009","駐車場舗装工事","1","平成10.09","10","","1501500","","1","75075","","","12","","","","","","","","1","1501499","AQ"
"00010","歩道手すり工事","1","平成10.12","10","","481950","","1","24097","","","12","","","","","","","","1","481949","AQ"
"00011","取付道路舗装工事","1","平成10.12","10","","976500","","1","48825","","","12","","","","","","","","1","976499","AQ"
"00012","取付道舗装工事","","平成11.11","10","","1995000","","1","99750","","","12","","","","","","","","1","1994999","AQ"
