"種類","固定資産コード","原価区分(%)原・販・外","部門","名 称","構造・細目","償却方法","数量","事業供用年月日","処分年月日","(5%相当額)","取得価額","期首帳簿価額","償却基礎金額","耐用年数","償却率","償却期間","普通償却限度額","特別償却限度額","合計","当期償却額","償却累計額","期末帳簿価額","摘要"
"11","0000009012","100・0・0","004:えのき部門","木造きのこ栽培舎","","旧定額法","","H11.8.1","","(1,706,430)","34,128,600","1","30,715,740","15年","0.066","12/12","0","","0","0","34,128,599","1",""
"11","0000009013","100・0・0","004:えのき部門","育成室改造工事","","旧定額法","","H12.8.1","","(143,962)","2,879,230","1","2,591,307","15年","0.066","12/12","0","","0","0","2,879,229","1",""
"11","0000009014","100・0・0","004:えのき部門","きのこ生育室","","旧定額法","","H13.8.27","","(2,234,170)","44,683,400","1","40,215,060","15年","0.066","12/12","0","","0","0","44,683,399","1",""
"11","0000009015","100・0・0","004:えのき部門","エリンギ舎改築工事","","旧定額法","","H14.6.7","","(35,477)","709,524","1","638,572","15年","0.066","12/12","0","","0","0","709,523","1",""
"11","0000009016","100・0・0","004:えのき部門","オガ掻き出し場土間改修工事","","旧定額法","","H14.6.7","","(22,700)","454,000","1","408,600","15年","0.066","12/12","0","","0","0","453,999","1",""
"11","0000009017","100・0・0","004:えのき部門","プレハブ","","旧定額法","","H14.7.31","","(59,810)","1,196,190","1","1,076,571","10年","0.100","12/12","0","","0","0","1,196,189","1",""
"11","0000009018","100・0・0","004:えのき部門","仕切及び換気工事","","旧定額法","","H15.2.27","","(45,096)","901,905","1","811,715","15年","0.066","12/12","0","","0","0","901,904","1",""
"11","0000009019","100・0・0","004:えのき部門","通路橋及びドア","","旧定額法","","H14.11.15","","(31,850)","637,000","5","573,300","15年","0.066","12/12","4","","4","4","636,999","1",""
"11","0000009020","100・0・0","004:えのき部門","廊下天井工事","","旧定額法","","H18.1.31","","(19,819)","396,371","11,893","356,734","15年","0.066","12/12","3,963","","3,963","3,963","388,441","7,930",""
"11","0000009021","100・0・0","004:えのき部門","通路間仕切","","旧定額法","","H17.9.28","","(32,200)","643,990","12,883","579,591","15年","0.066","12/12","6,439","","6,439","6,439","637,546","6,444",""
"","","","","建物(旧定額法)","計","","","","","","382,357,438","65,530,117","344,121,700","","","","5,498,835","0","5,498,835","5,498,835","322,326,156 322,326,156","60,031,282",""
"","","","","","","","","","","【期末資産の取得価額】","382,357,438","【期中買入額】 0","【期中売却額】 0","","","","【売却損】 0","【売却益】0","【除却時処分見込価額】 0","【除却損】 0","","",""
"","","","","","","","","","","","","【前期繰越超過】 475,595","","","","","","","","","","【次期繰越超過】 475,595",""
"","","","","","【建物(定額法)】","","","","","","","","","","","","","","","","","",""
"11","0000000067","100・0・0","001:エリンギ部門","4号棟雪止め取付","鉄骨鉄筋コンクリート造工場用(その他)","定額法","1.00式","R3.2.28","","","165,200","148,847","165,200","38年","0.027","12/12","4,460","","4,460","4,460","20,813","144,387",""
"11","0000000116","100・0・0","004:えのき部門","えのき第1工場改修工事","JA三井リース","定額法","1.00式","R3.10.31","","","24,980,060","22,575,733","24,980,060","31年","0.033","12/12","824,341","","824,341","824,341","3,228,668","21,751,392",""
"11","0000000117","100・0・0","004:えのき部門","えのき第1工場改修追加工事","JA三井リース","定額法","1.00式","R3.10.31","","","4,519,200","4,084,229","4,519,200","31年","0.033","12/12","149,133","","149,133","149,133","584,104","3,935,096",""
"11","0000000138","0・100・0","004:えのき部門","えのき事務所増設工事","湯本工務店","定額法","1.00式","R3.10.31","","","27,090,000","24,482,588","27,090,000","31年","0.033","12/12","893,970","","893,970","893,970","3,501,382","23,588,618",""
"11","0000000139","0・100・0","001:エリンギ部門","エリンギ事務所改修工事","湯本工務店","定額法","1.00式","R3.10.31","","","6,940,000","6,008,884","6,940,000","22年","0.046","12/12","319,240","","319,240","319,240","1,250,356","5,689,644",""
"11","0000000142","100・0・0","001:エリンギ部門","エリンギ工場電動シャッター工事","土屋土建","定額法","1.00式","R4.2.28","","","437,000","398,544","437,000","31年","0.033","12/12","14,421","","14,421","14,421","52,877","384,123",""
