"資産コード 勘定 償却方法","資産名 資産区分","場所","数量","増加事由","減少事由","事業供用日","増加日","減少日","取得価額","圧縮積立金","期首帳簿価額","残存価額","期中減少額","期中増加額","償却可能限度/保証","期首償却過不足","償却基礎額","耐用年数","償却率","償却月数","算出償却額","増加償却額","当期償却限度額","割増償却額","特別償却額","当期償却額","積立金取崩額","期末積立金額","期末帳簿価額","繰越超過額","繰越不足額","償却累計額","営業外費用","製造原価","販管費"
"0500040201 車輛運搬具 250%定率法","マツダハイルーフ軽バン480く4817 所有資産","小布施町","1","","除却","平22.8.31","","令6.2.9","901,086","","1","0","1","","47,523","","32,669","4","1.000","","","","","","","0","","","0","","","901,085","","",""
"0500050211 車輛運搬具 250%定率法","マツダボンゴトラックDX4WD1969 所有資産","小布施町","1","","償却済","平23.6.20","","","1,540,819","","1","0","","","96,285","","128,402","5","","","","","","","","0","","","1","","","1,540,818","","",""
"0500050231 車輛運搬具 200%定率法","マツダハイルーフ軽バン480さ1204 所有資産","小布施町","1","","償却済","平25.3.15","","","904,505","","1","0","","","97,686","","206,228","5","","","","","","","","0","","","1","","","904,504","","",""
"0500050241 車輛運搬具 200%定率法","マツダスクラムハイルーフ480す5920 所有資産","小布施町","1","","償却済","平27.11.31","","","908,525","","1","0","","","98,120","","189,701","5","","","","","","","","0","","","1","","","908,524","","",""
"0500050261 車輛運搬具 200%定率法","マツダボンゴバンDX400つ1128 所有資産","小布施町","1台","","償却済","平30.7.26","","","1,765,972","","1","0","","","190,724","","292,446","5","","","","","","","","0","","","1","","","1,765,971","","",""
"0500060011 車輛運搬具 200%率(均)","中古ジャガーXF333の224 所有資産","小布施町","1台","","","令3.7.2","","","3,801,464","","673,176","0","","","475,144","","673,176","4","1.000","12","673,175","","673,175","","","673,175","","","1","","","3,801,463","","","673,175"
"0500060021 車輛運搬具 200%率(均)","ジャガーXF冬用ホイール・タイヤ 所有資産","小布施町","1セット","","","令3.11.11","","","309,091","","67,614","0","","","38,633","","67,614","4","1.000","12","67,613","","67,613","","","67,613","","","1","","","309,090","","","67,613"
"0500040211 車輛運搬具 200%定率法","マツダスクラムバン480ぬ1450 所有資産","小布施町","1台","取得","","令6.2.9","令6.2.9","","1,020,600","","1,020,600","0","","1,020,600","127,564","","1,020,600","4","0.500","12","510,300","","510,300","","","510,300","","","510,300","","","510,300","","","510,300"
"","期中除却・売却資産以外計","","","","","","","","11,630,976","","1,761,395","138,000","","1,020,600","1,124,157","","2,647,167","","","","1,251,088","","1,251,088","","","1,251,088","","","510,307","","","11,120,669","","","1,251,088"
"","期中除却・売却資産計","","","","","","","","1,741,867","","2","0","2","","100,063","","111,493","","","","","","","","","0","","","0","","","1,741,865","","",""
"05","***車輛運搬具計***","","","","","","","","13,372,843","","1,761,397","138,000","2","1,020,600","1,224,220","","2,758,660","","","","1,251,088","","1,251,088","","","1,251,088","","","510,307","","","12,862,534","","","1,251,088"
"0700080021 器具・備品 旧定率法","YL-5455事務机いす 所有資産","小布施町","1","","償却済","昭52.12.31","","","102,000","","1","10,200","","","1","","5,100","8","","","","","","","","0","","","1","","","101,999","","",""
"0700150011 器具・備品 旧定率法","耐火キャビネット 所有資産","小布施町","1","","償却済","昭52.12.31","","","119,600","","1","11,960","","","1","","5,980","15","","","","","","","","0","","","1","","","119,599","","",""
