"資産コード 勘定 償却方法","資産名 資産区分","場所","数量","増加事由","減少事由","事業供用日","増加日","減少日","取得価額","圧縮積立金","期首帳簿価額","残存価額","期中減少額","期中増加額","償却可能限度/保証","期首償却過不足","償却基礎額","耐用年数","償却率","償却月数","算出償却額","増加償却額","当期償却限度額","割増償却額","特別償却額","当期償却額","積立金取崩額","期末積立金額","期末帳簿価額","繰越超過額","繰越不足額","償却累計額","営業外費用","製造原価","販管費"
"0200150121 建物附属設備 旧定率(均)","店舗給水配管設備 所有資産","小布施町","1","","","平7,10.31","","","1,245,902","","62,295","124,590","","","1","","62,295","15","0.142","12","12,458","","12,458","","","12,458","","","49,837","","","1,196,065","","","12,458"
"0200150131 建物附属設備 旧定率(均)","店舗給湯配管設備 所有資産","小布施町","1","","","平7.10.31","","","296,191","","14,809","29,619","","","1","","14,809","15","0.142","12","2,961","","2,961","","","2,961","","","11,848","","","284,343","","","2,961"
"0200150141 建物附属設備 旧定率(均)","店舗排水配管設備 所有資産","小布施町","1","","","平7,10.31","","","1,182,380","","59,119","118,238","","","1","","59,119","15","0.142","12","11,823","","11,823","","","11,823","","","47,296","","","1,135,084","","","11,823"
"0200150151 建物附属設備 旧定率(均)","店舗雨水排水設備 所有資産","小布施町","1","","","平7.10.31","","","624,549","","31,227","62,454","","","1","","31,227","15","0.142","12","6,245","","6,245","","","6,245","","","24,982","","","599,567","","","6,245"
"0200150161 建物附属設備 旧定率法","店舗電気設備工事 所有資産","小布施町","1","","","平12,4.30","","","219,090","","11,940","21,909","","","10,954","","11,940","15","0.142","7","986","","986","","","986","","","10,954","","","208,136","","","986"
"0200150171 建物附属設備 旧定率法","店舗給排水,給湯,ガス 所有資産","小布施町","1","","","平12.4.30","","","778,039","","42,393","77,803","","","38,901","","42,393","15","0.142","7","3,492","","3,492","","","3,492","","","38,901","","","739,138","","","3,492"
"0200150181 建物附属設備 200%率(均)","店舗衛生器具設備トイレ 所有資産","小布施町","1","","","平26.11.10","","","370,350","","97,965","0","","","16,906","","114,311","15","0.143","12","16,346","","16,346","","","16,346","","","81,619","","","288,731","","","16,346"
"","期中除却・売却資産以外計","","","","","","","","14,943,743","","336,943","1,457,334","","","66,775","","847,454","","","","62,902","","62,902","","","62,902","","","274,041","","","14,669,702","","","62,902"
"","期中除却・売却資産計","","","","","","","","","","","0","","","0","","","","","","","","","","","0","","","0","","","","","",""
"02","***建物附属設備計***","","","","","","","","14,943,743","","336,943","1,457,334","","","66,775","","847,454","","","","62,902","","62,902","","","62,902","","","274,041","","","14,669,702","","","62,902"
"0300200011 構築物 旧定率(均)","鉄骨製駐車場看板 所有資産","小布施町","1","","","昭59.4.30","","","123,000","","5","12,300","","","1","","6,150","20","0.109","1","4","","4","","","4","","","1","","","122,999","","","4"
"0300100061 構築物 旧定率法","駐車場アスファルト舗装 所有資産","小布施町","1","","償却済","平5.1.31","","","6,014,563","","1","601,456","","","1","","300,728","10","","","","","","","","0","","","1","","","6,014,562","","",""
"0300150041 構築物 旧定率(均)","駐車場南側コンクリート土留 所有資産","小布施町","1","","","平5.1.31","","","565,534","","11,311","56,553","","","1","","28,276","15","0.142","12","5,655","","5,655","","","5,655","","","5,656","","","559,878","","","5,655"
