"科目・品目","減価償却資産の名称","数量","供用年月","耐用年数","償却率","取得価額","圧縮後取得価額","期首帳簿価額","償却基礎・改定額","当期増加金額","当期減少金額","償却月数","普通償却限度額","特別償却限度額","普通償却過不足","特別償却過不足","普通償却額","特別償却額","当期償却額","期末帳簿価額","期末償却累計額","摘要"
"科目10","【建物】","","","","","","","","","","","","","","","","","","","","",""
"10-00001","浴場B","1","平成03.05","10","","1180000","","1","59000","","","12","","","","","","","","1","1179999","AQ"
"00002","湯沸小屋","1","平成03.05","10","","1230000","","1","61500","","","12","","","","","","","","1","1229999","AQ"
"00008","食堂","1","平成04.03","20","0.109","3191878","","177910","177910","","","12","18317","","18317","","18317","","18317","159593","3032285","A"
"00012","売店","1","平成04.07","10","","2163000","","1","108150","","","12","","","","","","","","1","2162999","AQ"
"00014","ボイラー室","1","平成07.09","14","","1480000","","1","74000","","","12","","","","","","","","1","1479999","AQ"
"00015","浴場A","1","平成07.09","11","","16184000","","1","809200","","","12","","","","","","","","1","16183999","AQ"
"00016","売店移転工事","1","平成07.09","14","","1067080","","1","53354","","","12","","","","","","","","1","1067079","AQ"
"00017","トイレ修理工事","1","平成08.12","7","","285310","","1","14265","","","12","","","","","","","","1","285309","AQ"
"00018","バス停用スーパーハウス","1","平成10.12","10","","283500","","1658","14175","","","12","1657","","1657","","1657","","1657","1","283499","AQ 旧定額法"
"00019","売店屋根工事","1","平成12.11","10","","838530","","1","41926","","","12","","","","","","","","1","838529","AQ 旧定額法"
"00020","食堂物置屋根工事","1","平成12.11","20","0.050","190575","","21219","171518","","","12","8575","","8575","","8575","","8575","12644","177931","旧定額法"
"00021","食堂日除シート","1","平成12.11","20","0.050","121275","","13500","109148","","","12","5457","","5457","","5457","","5457","8043","113232","旧定額法"
"00022","四阿(多目的広場)","1","平成14.08","5","","1785000","","1","89250","","","12","","","","","","","","1","1784999","AQ 旧定額法"
"00023","店舗改装","1","平成15.08","10","","2188606","","1","109430","","","12","","","","","","","","1","2188605","AQ 旧定額法"
"00024","休憩室改装","1","平成15.08","10","","937974","","1","46898","","","12","","","","","","","","1","937973","AQ 旧定額法"
"00025","浴室改修工事","1","平成23.05","10","0.100","1365000","","102375","1365000","","","12","102374","","102374","","102374","","102374","1","1364999","A 定額法"
"00026","増改築工事","1","平成26.05","10","0.100","5465159","","2049441","5465159","","","12","546515","","546515","","546515","","546515","1502926","3962233","定額法"
"00027","休憩所建屋移設建築工事","1","平成30.10","22","0.046","4970717","","4322869","4970717","","","12","228652","","228652","","228652","","228652","4094217","876500","定額法"
"00028","キャンプ場トイレ棟新築工事","1","令和04.05","22","0.046","1799000","","1716246","1799000","","","12","82754","","82754","","82754","","82754","1633492","165508","定額法"
"","*科目小計* TOTAL 19","","","","","46726604","46726604","8405229","15539600","","","","994301","","994301","","994301","","994301","7410928","39315676",""
"科目20","【建物付属設備】","","","","","","","","","","","","","","","","","","","","",""
"20-00001","トイレ等設備自社工事","1","令和03.07","15","0.067","1150000","","1072950","1150000","","","12","77050","","77050","","77050","","77050","995900","154100","定額法"
"00002","濾過施設","1","平成03.10","15","","766343","","1","38317","","","12","","","","","","","","1","766342","AQ"
"00006","電気設備(食堂)","1","平成04.03","15","","2451970","","1","122598","","","12","","","","","","","","1","2451969","AQ"
