"種類","固定資産コード","原価区分(%)原・販・外","部門","名 称","構造・細目","償却方法","数量","事業供用年月日","処分年月日","(5%相当額)","取得価額","期首帳簿価額","償却基礎金額","耐用年数","償却率","償却期間","普通償却限度額","特別償却限度額","合計","当期償却額","償却累計額","期末帳簿価額","摘要"
"","","","","","【建物(旧定率法)】","","","","","","","","","","","","","","","","","",""
"11","1100000003","0・100・0","001:かつ蔵、リソ","セブンイレブン柳町","","旧定率法","1.00","S58.6.30","","(700,000)","14,000,000","1,080,577","1,080,577","34年","0.066","12/12","71,318","","71,318","71,318","12,990,741","1,009,259",""
"","","","","建物(旧定率法)","計","","","","","","14,000,000","1,080,577","1,080,577","","","","71,318","0","71,318","71,318","12,990,741 12,990,741","1,009,259",""
"","","","","","","","","","","【期末資産の取得価額】","14,000,000","【期中買入額】","【期中売却額】 0","","","","【売却損】 0","【売却益】 0","【除却時処分見込価額】 0","【除却損】 0","","",""
"","","","","","【建物(定額法)】","","","","","","","","","","","","","","","","","",""
"11","1100000010","0・100・0","001:かつ蔵、リソ","柳町貸店舗改修 既存屋根塗装、外壁他工事","","定額法","1.00","H30.7.29","","","2,490,887","2,061,213","2,490,887","34年","0.030","12/12","74,726","","74,726","74,726","504,400","1,986,487",""
"","","","","建物(定額法)","計","","","","","","2,490,887","2,061,213","2,490,887","","","","74,726","0","74,726","74,726","504,400 504,400","1,986,487",""
"","","","","","","","","","","【期末資産の取得価額】","2,490,887","【期中買入額】","【期中売却額】 0","","","","【売却損】 0","【売却益】 0","【除却時処分見込価額】 0","【除却損】 0","","",""
"","","","","","【建物附属設備(定額法)】","","","","","","","","","","","","","","","","","",""
"12","1200000008","0・100・0","001:かつ蔵、リソ","柳町貸店舗改修 給排水設備、東店舗トイレ工事","","定額法","1.00","H30.7.29","","","2,175,465","1,337,368","2,175,465","15年","0.067","12/12","145,756","","145,756","145,756","983,853","1,191,612",""
"12","1200000009","0・100・0","001:かつ蔵、リソ","柳町貸店舗改修 トイレ工事 洋風大便器他","","定額法","1.00","H30.7.29","","","795,743","489,188","795,743","15年","0.067","12/12","53,314","","53,314","53,314","359,869","435,874",""
"12","1200000010","0・100・0","001:かつ蔵、リソ","柳町貸店舗改修 幹線設備工事","","定額法","1.00","H30.7.29","","","955,320","587,286","955,320","15年","0.067","12/12","64,006","","64,006","64,006","432,040","523,280",""
"","","","","建物附属設備(定額法)","計","","","","","","3,926,528","2,413,842","3,926,528","","","","263,076","0","263,076","263,076","1,775,762 1,775,762","2,150,766",""
"","","","","","","","","","","【期末資産の取得価額】","3,926,528","【期中買入額】","【期中売却額】 0","","","","【売却損】 0","【売却益】 0","【除却時処分見込価額】 0","【除却損】 0","","",""
"","","","","","【構築物(定額法)】","","","","","","","","","","","","","","","","","",""
"13","1300000012","0・100・0","001:かつ蔵、リソ","柳町貸店舗改修 土間コン、As舗装撤去復旧工事","","定額法","1.00","H30.7.29","","","789,273","335,443","789,273","10年","0.100","12/12","78,927","","78,927","78,927","532,757","256,516",""
"","","","","構築物(定額法)","計","","","","","","789,273","335,443","789,273","","","","78,927","0","78,927","78,927","532,757 532,757","256,516",""
"","","","","","","","","","","【期末資産の取得価額】","789,273","【期中買入額】","【期中売却額】 0","","","","【売却損】 0","【売却益】 0","【除却時処分見込価額】 0","【除却損】 0","","",""
"","","","","","(種類別合計)","","","","","","","","","","","","","","","","","",""
"","","","","","建物","","","","","","16,490,887","3,141,790","3,571,464","","","","146,044","0","146,044","146,044","13,495,141 13,495,141","2,995,746",""
