"資産コード 勘定 償却方法","資産名 資産区分","場所","数量","増加事由","減少事由","事業供用日","増加日","減少日","取得価額","圧縮積立金","期首帳簿価額","残存価額","期中減少額","期中増加額","償却可能限度/保証","期首償却過不足","償却基礎額","耐用年数","償却率","償却月数","算出償却額","増加償却額","当期償却限度額","割増償却額","特別償却額","当期償却額","積立金取崩額","期末積立金額","期末帳簿価額","繰越超過額","繰越不足額","償却累計額","営業外費用","製造原価","販管費"
"0300150051 構築物 旧定率(均)","駐車場西側コンクリート土留 所有資産","小布施町","1","","","平5.1.31","","","1,495,146","","29,904","149,514","","","1","","74,757","15","0.142","12","14,951","","14,951","","","14,951","","","14,953","","","1,480,193","","","14,951"
"0300100081 構築物 旧定率法","駐車場,倉庫外構,境界フェンス 所有資産","小布施町","1","","償却済","平5.3.31","","","1,669,563","","1","166,956","","","1","","83,478","10","","","","","","","","0","","","1","","","1,669,562","","",""
"0300200091 構築物 旧定率法","池,庭園 所有資産","小布施町","1","","","平7.2.20","","","2,420,195","","214,432","242,019","","","121,009","","214,432","20","0.109","12","23,373","","23,373","","","23,373","","","191,059","","","2,229,136","","","23,373"
"","期中除却・売却資産以外計","","","","","","","","12,288,001","","255,654","1,228,798","","","121,014","","707,821","","","","43,983","","43,983","","","43,983","","","211,671","","","12,076,330","","","43,983"
"","期中除却・売却資産計","","","","","","","","","","","0","","","0","","","","","","","","","","","0","","","0","","","","","",""
"03","***構築物計***","","","","","","","","12,288,001","","255,654","1,228,798","","","121,014","","707,821","","","","43,983","","43,983","","","43,983","","","211,671","","","12,076,330","","","43,983"
"0400070011 機械装置 旧定率法","テーブルソフト 所有資産","","1","","償却済","昭62.3.31","","","2,957,600","","1","295,760","","","1","","147,880","7","","","","","","","","0","","","1","","","2,957,599","","",""
"","期中除却・売却資産以外計","","","","","","","","2,957,600","","1","295,760","","","1","","147,880","","","","","","","","","0","","","1","","","2,957,599","","",""
"","期中除却・売却資産計","","","","","","","","","","","0","","","0","","","","","","","","","","","0","","","0","","","","","",""
"04","***機械装置計***","","","","","","","","2,957,600","","1","295,760","","","1","","147,880","","","","","","","","","0","","","1","","","2,957,599","","",""
"0500040101 車輛運搬具 旧定率法","トヨタフォークリフト 所有資産","小布施町","1","","償却済","平4.12.31","","","1,380,000","","1","138,000","","","1","","69,000","4","","","","","","","","0","","","1","","","1,379,999","","",""
"0500050191 車輛運搬具 250%定率法","マツダキャブ軽トラック480く4619 所有資産","小布施町","1","","売却","平22.8.23","","令6.2.9","840,781","","1","0","1","","52,540","","78,824","5","1.000","","","","","","","0","","","0","","","840,780","","",""
