"種類","固定資産コード","原価区分(%)原・販・外","部門","名 称","構造・細目","償却方法","数量","事業供用年月日","処分年月日","(5%相当額)","取得価額","期首帳簿価額","償却基礎金額","耐用年数","償却率","償却期間","普通償却限度額","特別償却限度額","合計","当期償却額","償却累計額","期末帳簿価額","摘要"
"","","","","","【建物(旧定額法)】","","","","","","","","","","","","","","","","","",""
"11","0000000101","0・100・0","","宿坊山本館(新築)","","旧定額法","1.00棟","H12.12.31","","(9,244,550)","184,891,000","91,566,167","166,401,900","36年","0.028","12/12","4,659,253","","4,659,253","4,659,253","97,984,086","86,906,914",""
"","","","","建物(旧定額法)","計","","","","","","184,891,000","91,566,167","166,401,900","","","","4,659,253","0","4,659,253","4,659,253","97,984,086 97,984,086","86,906,914",""
"","","","","","","","","","","【期末資産の取得価額】","184,891,000","【期中買入額】 0","【期中売却額】 0","","","","【売却損】 0","【売却益】 0","【除却時処分見込価額】 0","【除却損】 0","","",""
"","","","","","【建物附属設備(旧定率法)】","","","","","","","","","","","","","","","","","",""
"12","0000000401","0・100・0","","電気工事","","旧定率法","1.00","H12.12.31","","(774,800)","15,496,000","774,800","774,800","15年","0.142","12/12","154,959","","154,959","154,959","14,876,159","619,841",""
"12","0000000402","0・100・0","","機械設備工事","","旧定率法","1.00","H12.12.31","","(1,927,600)","38,552,000","1","1","8年","0.250","12/12","0","","0","0","38,551,999","1",""
"12","0000000403","0・100・0","","昇降機設備","","旧定率法","1.00","H12.12.31","","(250,050)","5,001,000","308,499","308,499","17年","0.127","12/12","39,179","","39,179","39,179","4,731,680","269,320",""
"12","0000000404","0・100・0","","外構工事","","旧定率法","1.00","H12.12.31","","(261,850)","5,237,000","380,296","380,296","18年","0.120","12/12","45,635","","45,635","45,635","4,902,339","334,661",""
"12","0000000405","0・100・0","","電気工事","","旧定率法","1.00","H13.7.31","","(18,530)","370,600","18,530","18,530","15年","0.142","12/12","3,705","","3,705","3,705","355,775","14,825",""
"","","","","建物附属設備(旧定率法)","計","","","","","","64,656,600","1,482,126","1,482,126","","","","243,478","0","243,478","243,478","63,417,952 63,417,952","1,238,648",""
"","","","","","","","","","","【期末資産の取得価額】","64,656,600","【期中買入額】 0","【期中売却額】 0","","","","【売却損】 0","【売却益】 0","【除却時処分見込価額】 0","【除却損】 0","","",""
"","","","","","【建物附属設備(定額法)】","","","","","","","","","","","","","","","","","",""
"12","0000000406","0・100・0","","LED (畔丘)","","定額法","1.00","R6.3.29","","","4,557,960","","4,557,960","15年","0.067","6/12","152,691","","152,691","152,691","152,691","4,405,269",""
"12","0000000407","0・100・0","","空調設備(畔丘)","","定額法","1.00","R6.3.28","","","10,450,000","","10,450,000","15年","0.067","6/12","350,075","","350,075","350,075","350,075","10,099,925",""
"","","","","建物附属設備(定額法)","計","","","","","","15,007,960","0","15,007,960","","","","502,766","0","502,766","502,766","502,766 502,766","14,505,194",""
"","","","","","","","","","","【期末資産の取得価額】","15,007,960","【期中買入額】 15,007,960","【期中売却額】 0","","","","【売却損】 0","【売却益】 0","【除却時処分見込価額】 0","【除却損】 0","","",""
"","","","","","【構築物(旧定率法)】","","","","","","","","","","","","","","","","","",""
"13","0000000201","0・100・0","","石段改修","","旧定率法","1.00","S43.11.30","","(20,000)","400,000","1","1","15年","0.142","12/12","0","","0","0","399,999","1",""
"13","0000000202","0・100・0","","不動滝改修","","旧定率法","1.00","S59.9.30","","(26,750)","535,000","1","1","15年","0.142","12/12","0","","0","0","534,999","1",""
