"物件名称","数量","償却","方法","取得","使用","耐用年数","償却率","期間","取得価額","期首帳簿価額","当期増減額","普通償却額","特別(割増)","償却額","当期減損損失額","当期償却額","当期償却限度額","期末帳簿価額","(減損損失累計額)","償却累計額","備考"
"【建物(定額)】","","","","","","","","","","","","","","","","","","","","",""
"19-00 鉄骨造り(中古倉庫)改造費","1","","旧定額","H10.5","H10.5","35","0.029","12","12,611,793","4,616,300","✓","329,167","","","","329,167","329,167","4,286,133","","8,325,660",""
"20-00 木造(中古事務所)改造費","1","","旧定額","H10.5","H10.5","26","0.039","12","6,863,022","1,001,321","✓","240,892","","","","240,892","240,892","760,429","","6,102,593",""
"52-00 鉄骨造り(中古倉庫)改造費","1","","定額","H21.6","H21.6","35","0.029","12","1,523,810","938,293","✓","44,190","","","","44,190","44,190","894,103","","629,707",""
"※資産計※ 建物(定額)","","","","","","","","","20,998,625","6,554,914","","614,249","","","","614,249","614,249","5,940,665","","15,057,960",""
"【建物(定率)】","","","","","","","","","","","","","","","","","","","","",""
"1-00 木造(中古事務所)","1","","旧定率","H10.3","H10.3","26","0.085","12","2,064,991","234,515","✓","19,933","","","","19,933","19,933","214,582","","1,850,409",""
"2-00 鉄骨造り(中古倉庫)","1","","旧定率","H10.3","H10.3","19","0.114","4","4,295,181","221,775","✓","7,015","","","","7,015","7,015","214,760","","4,080,421","償却完了"
"※資産計※ 建物(定率)","","","","","","","","","6,360,172","456,290","","26,948","","","","26,948","26,948","429,342","","5,930,830",""
"※建物計※","","","","","","","","","27,358,797","7,011,204","","641,197","","","","641,197","641,197","6,370,007","","20,988,790",""
"【建物付属設備(定率)】","","","","","","","","","","","","","","","","","","","","",""
"12-00 屋内電気設備(事務所)","1","","旧定率","H10.5","H10.5","15","12/60","12","559,278","5,596","✓","5,592","","","","5,592","5,592","4","","559,274","償却基礎 27,963"
"13-00 屋内給排水設備(事務所)","1","","旧定率","H10.5","H10.5","15","12/60","12","1,331,167","13,315","✓","13,311","","","","13,311","13,311","4","","1,331,163","償却基礎 66,558"
"15-00 屋内給水設備(倉庫)","1","","旧定率","H10.5","H10.5","15","12/60","12","1,017,605","10,177","✓","10,176","","","","10,176","10,176","1","","1,017,604","償却完了 償却基礎 50,880"
"17-00 屋内動力配線工事(工場)","1","","旧定率","H10.6","H10.6","15","12/60","12","1,142,858","11,431","✓","11,428","","","","11,428","11,428","3","","1,142,855","償却基礎 57,142"
"18-00 壁面改造(倉庫)","1","","旧定率","H11.8","H11.8","18","0.120","5","240,000","12,562","✓","562","","","","562","562","12,000","","228,000","償却完了"
"53-00 電気配線増設(倉庫)","1","","H19定率","H21.7","H21.7","15","0.200","12","380,953","14,304","✓","14,303","","","","14,303","14,303","1","","380,952","償却完了 改定価額 71,520"
"※資産計※ 建物付属設備(定率)","","","","","","","","","4,671,861","67,385","","55,372","","","","55,372","55,372","12,013","","4,659,848",""
"【構築物(定率)】","","","","","","","","","","","","","","","","","","","","",""
"8-00 土間コンクリート(倉庫)","1","","旧定率","H10.5","H10.5","15","12/60","12","3,444,569","34,449","✓","34,445","","","","34,445","34,445","4","","3,444,565","償却基礎 172,228"
