"account","前期額","構成比_0","決算額","構成比_1"
"(負債の部)","0","0","0","0"
"I流動負債","(72,220,087)","(34.4)","(75,834,332)","(36.5)"
"支払手形","16,464,779","7.8","15,465,061","7.4"
"買掛金","30,180,876","14.4","20,937,065","10.1"
"短期借入金","0","0.0","8,000,000","3.9"
"1年以内返済長期借入金","7,572,000","3.6","9,616,000","4.6"
"未払費用","3,905,923","1.9","10,542,368","5.1"
"未払法人税等","398,500","0.2","253,700","0.1"
"未払消費税等","789,600","0.4","2,127,700","1.0"
"前受金","130,000","0.1","130,000","0.1"
"預かり敷金","350,000","0.2","350,000","4.0"
"裏書手形","12,428,409","5.9","8,412,438","4.0"
"Ⅱ固定負債","(43,001,778)","(20.5)","(32,542,857)","(15.7)"
"長期借入金","39,682,000","18.9","29,352,000","14.1"
"役員借入金","3,319,778","1.6","3,190,857","1.5"
"負債の部合計","115,221,865","54.9","108,377,189","52.2"
"(純資産の部)","0","0","0","0"
"I株主資本","(94,732,887)","(45.1)","(99,404,879)","(47.8)"
"1.資本金","11,000,000","5.2","11,000,000","5.3"
"2.資本余剰金","(0)","(0.0)","(0)","(0.0)"
"3.利益剰余金","(83,732,887)","(39.9)","(88,404,879)","(42.5)"
"(1)利益準備金","450,000","0.2","450,000","0.2"
"(2)その他利益剰余金","(83,282,887)","(39.7)","(87,954,879)","(42.3)"
"繰越利益剰余金","83,282,887","39.7","87,954,879","42.3"
"Ⅱ評価・換算差額等","(0)","(0.0)","(0)","(0.0)"
"Ⅲ新株予約権","(0)","(0.0)","(0)","(0.0)"
"純資産の部合計","94,732,887","45.1","99,404,879","47.8"
"負債及び純資産の部合計","209,954,752","100.0","207,782,068","100.0"
