"account","金","額"
"単位","0","0"
"受取利息","3,467","0"
"受取配当金","9,579,609","0"
"有価証券償還益","406,406","0"
"雑収入","27,124,953","0"
"営業外収益","0","37,114,435"
"(営業外費用)","0","0"
"支払利息","9,556,859","0"
"雑損失","20,868,771","0"
"営業外費用","0","30,425,630"
"(経常利益又は経常損失(-))","0","38,500,950"
"(特別利益)","0","0"
"過年度損益修正益","44,524,355","0"
"特別利益","0","44,524,355"
"(特別損失)","0","0"
"固定資産除却損","15,084,076","0"
"貸倒損失","1,449,259","0"
"過年度損益修正損","17,206,579","0"
"特別損失","0","33,739,914"
"(税引前当期純利益又は税引前当期純損失(-))","0","49,285,391"
"(法人税等)","0","2,476,000"
"法人税、住民税及び事業税","2,476,000","0"
"(当期純利益又は当期純損失(-))","0","46,809,391"
