"account","金","額"
"広告宣伝費","1,448,643","0"
"役員報酬","47,304,000","0"
"給料手当","115,195,000","0"
"退職金","1,900,000","0"
"法定福利費","19,607,000","0"
"厚生費","4,149,000","0"
"減価償却費","12,344,282","0"
"賃借料","13,336,213","0"
"修繕費","6,657,000","0"
"事務用品費","1,626,619","0"
"消耗品費","1,424,678","0"
"水道光熱費","1,722,000","0"
"旅費交通費","2,268,159","0"
"支払手数料","11,734,904","0"
"公租公課","12,338,425","0"
"交際接待費","6,529,722","0"
"保険料","7,246,000","0"
"通信費","2,845,891","0"
"会費組合費","977,680","0"
"車輌費","7,044,000","0"
"新聞図書費","332,783","0"
"地代家賃","2,400,000","0"
"研修費","1,546,676","0"
"寄付金","2,032,000","0"
"役員退職給与引当金繰入","121,712,000","0"
"貸倒引当金繰入","2,020,000","0"
"雑費","3,457,710","0"
"合計","0","(411,200,385)"
