"account","金","額"
"(材料費)","0","0"
"期首材料棚卸高","32,639,850","0"
"当期材料仕入高","24,046,890","0"
"合計","56,686,740","0"
"期末材料棚卸高","31,652,850","0"
"材料費合計","0","25,033,890"
"(労務費)","0","0"
"役員報酬","7,200,000","0"
"給料手当","19,435,873","0"
"法定福利費","24,822,420","0"
"福利厚生費","64,853","0"
"労務費","159,298,746","0"
"労務費合計","0","210,821,892"
"(製造経費)","0","0"
"外注加工費","221,645,901","0"
"機械等損料","56,637,680","0"
"旅費交通費","2,029,725","0"
"消耗品費","7,534,235","0"
"事務用消耗品費","296,158","0"
"修繕費","27,483,710","0"
"水道光熱費","207,840","0"
"減価償却費","9,417,205","0"
"地代家賃","72,000","0"
"租税公課","2,397,680","0"
"保険料","9,076,061","0"
"燃料費","47,145,761","0"
"支払手形料","1,654,176","0"
"賃借料","42,399,398","0"
"技能実習費","3,980,000","0"
"車両費","17,328,343","0"
"雑費","178,204","0"
"製造経費合計","0","449,484,077"
"総製造費用","0","685,339,859"
"合計","0","685,339,859"
"当期製品製造原価","0","685,339,859"
