"account","金額"
"(流動資産)","157,661,118"
"現金及び預金","56,442,414"
"受取手形","4,910,000"
"売掛金","7,845,420"
"完成工事未収入金","55,078,768"
"有価証券","91,159"
"原材料、貯蔵品","31,652,850"
"前払費用","40,000"
"短期貸付金","8,516,717"
"未収入金","83,790"
"貸倒引当金","-7,000,000"
"(固定資産)","1,741,360,880"
"(有形固定資産)","516,228,182"
"建物","50,295,071"
"建物附属設備","3,813,684"
"構築物","4,762,469"
"機械装置","17,756,432"
"車両運搬具","12,269,561"
"工具器具備品","272,361"
"土地","427,058,604"
"(無形固定資産)","1,008,479"
"電話加入権","1,008,479"
"(投資その他の資産)","1,224,124,219"
"出資金","99,891,000"
"敷金","40,000"
"差入保証金","46,914"
"預託金","169,750"
"長期未収入金","1,123,976,555"
"資産の部合計","1,899,021,998"
"(流動負債)","570,587,119"
"支払手形","6,559,063"
"工事未払金","8,348,849"
"短期借入金","530,351,562"
"未払費用","12,536,462"
"未払法人税等","206,000"
"未払消費税等","6,651,200"
"預り金","1,723,983"
"割引手形","4,210,000"
"(固定負債)","450,528,108"
"長期借入金","450,528,108"
"負債の部合計","1,021,115,227"
"(株主資本)","877,906,771"
"資本金","40,000,000"
"利益剰余金","837,906,771"
"利益準備金","10,000,000"
"その他利益剰余金","827,906,771"
"別途積立金","648,500,000"
"繰越利益剰余金","179,406,771"
"純資産の部合計","877,906,771"
"負債及び純資産合計","1,899,021,998"
