"account","金","額"
"単位","0","0"
"(営業活動による収益)","0","0"
"営業活動による収益の内訳","0","0"
"総売上高","1,525,958,732","0"
"(営業活動による費用・売上原価)","0","0"
"営業費用","0","0"
"営業費用","1,263,112,262","0"
"(売上総利益又は売上総損失(-))","0","262,846,470"
"(販売費及び一般管理費)","0","0"
"運搬費","8,505,053","0"
"広告宣伝費","7,361,688","0"
"役員報酬","23,790,000","0"
"給料","40,882,838","0"
"賞与","6,850,000","0"
"退職年金掛金","4,480,130","0"
"福利厚生費","699,586","0"
"交際費","3,502,781","0"
"旅費","5,992,648","0"
"通信費","2,258,635","0"
"光熱費","1,322,189","0"
"消耗品費","990,558","0"
"租税公課","70,443,042","0"
"減価償却費","6,615,333","0"
"修繕費","10,398,946","0"
"保険料","760,365","0"
"法定福利費","10,621,910","0"
"管理諸費","2,117,800","0"
"教育研修費","191,100","0"
"支払手形料","2,346,221","0"
"賃借料","10,906,470","0"
"地代家賃","315,600","0"
"事務用品費","2,894,402","0"
"車両費","844,459","0"
"会議費","38,403","0"
"組合費","2,237,495","0"
"雑費","3,666,673","0"
"(営業利益又は営業損失(-))","0","31,812,145"
"(営業外収益)","0","0"
