"account","金額"
"(流動資産)","(166,764,727)"
"現金及び預金","53,833,473"
"受取手形","57,042,590"
"売掛金","33,383,185"
"商品","7,626,475"
"未成工事支出金","11,542,241"
"前払費用","941,797"
"未収入金","11,608"
"預け金","2,383,358"
"(固定資産)","(88,800,218)"
"(有形固定資産)","(69,657,026)"
"建物","1,145,165"
"建物附属設備","62,749"
"構築物","136,370"
"車両運搬具","3"
"工具器具備品","2,137,766"
"土地","66,174,973"
"(無形固定資産)","(661,760)"
"預託金","44,360"
"電話加入権","617,400"
"(投資その他の資産)","(18,481,432)"
"出資金","200,000"
"差入保証金","12,475,757"
"保険積立金","5,805,675"
"(繰延資産)","(193,071,022)"
"開発費","193,071,022"
"資産の部合計","448,635,967"
"(流動負債)","(219,104,600)"
"支払手形","63,090,772"
"買掛金","15,039,682"
"短期借入金","115,778,800"
"未払費用","3,912,175"
"未払法人税等","362,000"
"前受金","10,745,350"
"預り金","420,221"
"未払消費税","9,755,600"
"(固定負債)","(209,943,342)"
"長期借入金","180,814,900"
"社債","29,128,442"
"負債の部合計","429,047,942"
"(株主資本)","(19,588,025)"
"(資本金)","(60,000,000)"
"資本金","60,000,000"
"(利益剰余金)","(-40,411,975)"
"繰越利益剰余金","-40,411,975"
"純資産の部合計","19,588,025"
"負債及び純資産の部合計","448,635,967"
