"account","金","額"
"(純売上高)","0","0"
"売上高","263,166,455","263,166,455"
"(売上原価)","0","0"
"期首棚卸高","14,558,511","0"
"仕入高","137,013,692","0"
"合計","(151,572,203)","0"
"期末棚卸高","19,168,716","132,403,487"
"売上総利益","0","(130,762,968)"
"(販売費及び一般管理費)","0","116,576,951"
"営業利益","0","(14,186,017)"
"(営業外収益)","0","0"
"受取利息","1","0"
"受取配当金","6,000","0"
"雑収入","831,245","837,246"
"(営業外費用)","0","0"
"支払利息割引料","11,601,625","11,601,625"
"経常利益","0","(3,421,638)"
"(特別利益)","0","0"
"固定資産売却益","90,909","90,909"
"税引前当期純利益","0","(3,512,547)"
"法人税、住民税及び事業税","0","362,000"
"当期純利益","0","(3,150,547)"
