"account","金額"
"給料","56,977,517"
"旅費交通費","778,359"
"広告宣伝費","291,813"
"調査費","846,422"
"発送配達費","28,614,361"
"支払手数料","1,292,340"
"会費","267,909"
"負担金","871,486"
"役員報酬","14,360,000"
"役員賞与","4,590,000"
"従業員賞与","15,922,000"
"法廷福利費","13,984,671"
"福利厚生費","5,424,477"
"通勤費","2,961,277"
"減価償却費","4,929,455"
"地代家賃","3,960,000"
"修繕費","20,000"
"事務用消耗品費","2,830,177"
"通信費","2,213,227"
"水道光熱費","1,479,291"
"租税公課","2,002,526"
"接待交際費","2,391,428"
"保険料","5,028,527"
"備品消耗品費","376,049"
"管理諸費","1,364,800"
"車両諸費","6,334,718"
"図書研究費","98,357"
"会議費","266,412"
"雑費","2,039,926"
"合計","182,517,525"
