"account","金","額"
"役員報酬","2,400,000","0"
"給与手当","40,392,670","0"
"退職金共済","383,000","0"
"法定福利費","6,476,799","0"
"福利厚生費","3,395,033","0"
"繰延資産償却","29,076,405","0"
"外注費","2,921,298","0"
"旅費交通費","2,747,308","0"
"通信費","1,146,269","0"
"交際費","3,415,825","0"
"減価償却費","1,063,894","0"
"保険料","831,620","0"
"水道光熱費","900,919","0"
"消耗品費","632,400","0"
"租税公課","995,875","0"
"発送配達費","193,859","0"
"事務用消耗品費","1,697,687","0"
"広告宣伝費","841,252","0"
"車輛費","4,732,838","0"
"顧問料","1,810,930","0"
"リース料","3,200,831","0"
"寄付金","150,000","0"
"雑費","7,170,239","0"
"販売費及び一般管理費","0","(116,576,951)"
