"account","金","額"
"単位","0","0"
"(材料費)","0","251,697,321"
"期首原材料たな卸高","28,473,012","0"
"当期原材料仕入高","252,711,740","0"
"期末原材料たな卸高","29,487,431","0"
"(労務費)","0","292,136,332"
"賃金","195,016,073","0"
"賞与","32,210,000","0"
"雑給","5,481,453","0"
"退職金","10,526,824","0"
"法定福利費","39,219,887","0"
"福利厚生費","9,682,095","0"
"(経費)","0","611,609,672"
"外注加工費","410,948,322","0"
"減価償却費","47,493,951","0"
"電力料等","62,388,294","0"
"水道光熱費","6,542,472","0"
"車両費","2,080,132","0"
"運賃","15,746,118","0"
"消耗品費","26,078,503","0"
"保険料","1,061,880","0"
"修繕費","18,744,611","0"
"旅費交通費","19,475,983","0"
"雑費","1,049,406","0"
"(当期製造費用)","0","1,155,443,325"
"(期首仕掛品たな卸高)","0","226,867,040"
"(合計)","0","1,382,310,365"
"(期末仕掛品たな卸高)","0","119,198,103"
"(当期製品製造原価)","0","1,263,112,262"
