"account","金額","0"
"科目","0","0"
"給与手当","8,220,658","0"
"賞与","540,000","0"
"法定福利費","1,817,251","0"
"外注費","12,916,367","0"
"旅費交通費","7,412,086","0"
"通信費","1,576,080","0"
"交際費","2,427,176","0"
"会議費","908,827","0"
"減価償却費","45,544,654","0"
"地代家賃","8,018,369","0"
"リース料","2,641,456","0"
"保険料","2,808,065","0"
"修繕費","48,000","0"
"水道光熱費","128,996","0"
"消耗品費","1,794,712","0"
"租税公課","86,420,136","0"
"広告宣伝費","294,000","0"
"支払手形料","91,039,742","0"
"諸会費","1,249,100","0"
"新聞図書費","123,026","0"
"販売手数料","3,065,617","0"
"繰延資産償却","123,996","0"
"車両費","2,302,356","0"
"寄付金","1,000,000","0"
"長期前払費用償却","210,000","0"
"繰延消費税償却","26,614,312","0"
"雑費","714,648","0"
"合計","0","309,959,630"
