"account","金額"
"(資産の部)","0"
"Ⅰ流動資産","(727,027,340)"
"現金及び預金","403,165,563"
"受取手形","56,388,946"
"電子記録債権","65,020,977"
"売掛金","145,909,388"
"棚卸資産","74,201,912"
"前渡金","15,603"
"前払費用","308,000"
"未収入金","1,996,951"
"仮払金","20,000"
"貸倒引当金","-20,000,000"
"Ⅱ固定資産","(255,313,005)"
"有形固定資産","(154,978,626)"
"建物","24,083,777"
"構築物","5,227,004"
"機械及び装置","739,913"
"車両運搬具","1,100,921"
"工具、器具及び備品","1,537,766"
"土地","122,214,211"
"一括償却資産","75,034"
"無形固定資産","(451,500)"
"電話加入権","451,500"
"投資その他の資産","(99,882,879)"
"投資有価証券","48,954,538"
"出資金","10,000"
"保証金","12,578,861"
"リサイクル預託金","85,730"
"長期前払費用","12,320"
"保険積立金","35,853,894"
"破産債権等","4,775,071"
"貸倒引当金","-2,387,535"
"Ⅲ繰延資産","(0)"
"資産の部合計","982,340,345"
"(負債の部)","0"
"Ⅰ流動負債","(634,935,203)"
"支払手形","19,333,323"
"電子記録債務","309,104,657"
"買掛金","128,964,899"
"1年以内返済長期借入金","153,988,000"
"未払費用","4,185,726"
"未払法人税等","6,072,000"
"未払消費税等","4,930,000"
"前受金","284,426"
"預り金","3,472,172"
"賞与引当金","2,600,000"
"特定経費引当金","2,000,000"
"Ⅱ固定負債","(170,306,000)"
"預り敷金","702,000"
"長期借入金","148,304,000"
"預り保証金","11,300,000"
"退職給付引当金","10,000,000"
"負債の部合計","805,241,203"
"(純資産の部)","0"
"Ⅰ株主資本","(177,099,142)"
"1.資本金","45,000,000"
"2.資本剰余金","(0)"
"3.利益剰余金","(173,422,342)"
"(1)利益準備金","11,304,000"
"(2)その他利益剰余金","(162,118,342)"
"別途積立金","80,000,000"
"繰越利益剰余金","82,118,342"
"4.自己株式","-41,323,200"
"Ⅱ評価・換算差額等","(0)"
"Ⅲ新株予約権","(0)"
"純資産の部合計","177,099,142"
"負債・純資産の部合計","982,340,345"
