"account","amount_0"
"資本金","0"
"当期首残高","51,000,000"
"当期末残高","51,000,000"
"利益剰余金","0"
"利益準備金","0"
"当期首残高","12,750,000"
"当期末残高","12,750,000"
"その他利益剰余金","0"
"当期首残高","967,250,000"
"繰越利益剰余金","0"
"当期首残高","-121,001,377"
"当期変動額","0"
"当期純利益","46,809,391"
"当期末残高","-74,191,986"
"自己株式","0"
"当期首残高","-100,023,408"
"当期末残高","-100,023,408"
"株主資本合計","0"
"当期首残高","809,975,215"
"当期変動額","0"
"当期純利益","46,809,391"
"当期末残高","856,784,606"
"純資産合計","0"
"当期首残高","809,975,215"
"当期変動額","0"
"当期純利益","46,809,391"
"当期変動額合計","46,809,391"
"当期末残高","856,784,606"
