"account","amount_0"
"(流動資産)","(11,137,762,487)"
"現金","437,088"
"預金","713,477,821"
"受取手形","1,430,000"
"完成工事未収入金","366,160,941"
"未成工事支出金","50,282,745"
"貯蔵品","1,989,500"
"仮払金","600,431"
"前払費用","2,186,902"
"未収入金","2,549,609"
"立替金","847,450"
"貸倒引当金","-2,200,000"
"(固定資産)","(698,019,823)"
"(有形固定資産)","(525,400,246)"
"建物","27,917,468"
"建物附属設備","2,818,255"
"機械装置","11,510,264"
"船舶","11,422,410"
"車輌運搬具","497,536"
"器具備品","377,472"
"リース資産","9,658,600"
"土地","461,198,241"
"(無形固定資産)","(12,262,381)"
"借地権","10,000,000"
"電話加入権","1,000,822"
"ソフトウェア","1,261,559"
"(投資その他の資産)","(160,357,196)"
"投資有価証券","120,927,801"
"出資金","7,450,500"
"保証金","10,548,626"
"保険積立金","21,430,269"
"(繰延資産)","(9,581,798)"
"繰延資産","9,581,798"
"資産合計","1,845,364,108"
"(流動負債)","(365,811,922)"
"支払手形","89,414,763"
"工事未払金","74,928,549"
"未払金","41,243,309"
"未払法人税等","15,500,000"
"未払消費税等","4,315,400"
"前受金","412,809"
"預り金","148,000"
"仮受金","6,001,092"
"未成工事受入金","133,848,000"
"(固定負債)","(269,971,170)"
"長期借入金","259,252,000"
"リース債務","10,719,170"
"負債合計","635,783,092"
"(株主資本)","(1,209,581,016)"
"資本金","73,800,000"
"(利益剰余金)","(1,135,781,016)"
"利益準備金","1,500,000"
"その他利益剰余金","1,134,281,016"
"別途積立金","1,020,000,000"
"繰越利益剰余金","114,281,016"
"純資産合計","1,209,581,016"
"負債・純資産合計","1,845,364,108"
