"account","金額"
"(資産の部)","0"
"Ⅰ流動資産","(111,463,373)"
"現金及び預金","2,824,486"
"売掛金","6,361,744"
"棚卸資産","507,856"
"前払費用","482,275"
"短期貸付金","54,000"
"未収入金","1,011,877"
"未収還付法人税等","40"
"立替金","217,000"
"仮払金","33,200"
"貸倒引当金","-29,105"
"Ⅱ固定資産","(73,754,676)"
"有形固定資産","(67,914,856)"
"建物","22,704,799"
"構築物","1,863,270"
"機械及び装置","23,649,576"
"車両運搬具","4,863,639"
"工具、器具及び備品","697,641"
"土地","10,394,931"
"リース資産","3,741,000"
"無形固定資産","(180,370)"
"保証金","100,000"
"預け金","80,370"
"投資その他の資産","(5,659,450)"
"出資金","30,000"
"敷金","200,000"
"長期前払費用","5,429,450"
"Ⅲ繰延資産","(336,667)"
"役務権利金","336,667"
"資産の部合計","85,554.716"
"(負債の部)","0"
"Ⅰ流動負債","(48,828,366)"
"買掛金","3,256,393"
"短期借入金","23,726,185"
"1年以内返済長期借入金","14,185,000"
"未払金","4,358,914"
"未払法人税等","122,000"
"未払消費税等","2,507,900"
"預り金","671,974"
"Ⅱ固定負債","(51,993,899)"
"役員借入金","7,579"
"長期借入金","48,420,000"
"長期預り金","680,000"
"長期未払金","2,886,320"
"負債の部合計","100,822,265"
"(純資産の部)","0"
"Ⅰ株主資本","(-15,267,549)"
"1.資本金","4,000,000"
"2.資本剰余金","(0)"
"3.利益剰余金","(-19,267,549)"
"(1)その他利益剰余金","(-19,267,549)"
"繰越利益剰余金","-19,267,549"
"Ⅱ評価・換算差額等","(0)"
"Ⅲ新株予約権","(0)"
"純資産の部合計","-15,267.549"
"負債・純資産の部合計","85,554,716"
