"account","金","額"
"(純売上高)","0","0"
"売上高","3,173,273,253","0"
"受取地代家賃","571,440","0"
"売上高(固定資産)","77,466,058","0"
"売上値引戻り高","-1,536,716","3,249,774,035"
"(売上原価)","0","0"
"期首棚卸高","70,644,729","0"
"商品仕入高","1,429,956,403","0"
"仕入値引戻し高","-219,481","0"
"当期修理原価","1,149,486,051","0"
"合計","(2,649,867,702)","0"
"期末棚卸高","50,204,181","2,599,663,521"
"売上総利益","0","(650,110,514)"
"(販売費及び一般管理費)","0","411,200,385"
"営業利益","0","(238,910,129)"
"(営業外収益)","0","0"
"受取利息","90,051","0"
"雑収入","28,066,618","28,156,669"
"(営業外費用)","0","0"
"支払利息・割引料","3,691,342","0"
"雑損失","41,061,260","44,752,602"
"経常利益","0","(222,314,196)"
"(特別利益)","0","0"
"貸倒引当金戻入","2,340,000","0"
"前期損益修正益","8,719,961","11,059,961"
"税引前当期利益","0","(233,374,157)"
"法人税住民税及事業税","0","116,299,300"
"当期利益","0","(117,074,857)"
