"account","金額"
"(流動資産)","448,943,026"
"現金及び預金","199,384,944"
"受取手形","31,505,169"
"売掛金","118,460,685"
"有価証券","1,156,232"
"商品","90,897,192"
"前払費用","3,694,704"
"短期貸付金","1,200,000"
"未収入金","684,200"
"仮払金","1,090,000"
"貸倒引当金","-1,000,000"
"仮払税金","1,869,900"
"(固定資産)","265,024,170"
"(有形固定資産)","241,500,216"
"建物","71,124,557"
"構簗物","2"
"工具器具備品","1,893,371"
"土地","164,297,786"
"リース資産","4,184,500"
"(無形固定資産)","453,913"
"電話加入権","453,913"
"(投資その他の資産)","23,070,041"
"投資有価証券","4,837,520"
"出資金","229,480"
"敷金","51,840"
"差入保証金","17,255,772"
"保険積立金","695,429"
"資産の部合計","713,967,196"
"(流動負債)","342,223,452"
"支払手形","168,237,738"
"買掛金","100,820,768"
"短期借入金","56,600,000"
"未払金","7,200,608"
"未払法人税等","185,000"
"預り金","942,051"
"預り保証金","400,000"
"割引手形","7,837,287"
"(固定負債)","293,210,142"
"長期借入金","288,625,000"
"リース未払金","4,585,142"
"負債の部合計","635,433,594"
"(株主資本)","78,533,602"
"資本金","18,500,000"
"利益剩余金","60,533,602"
"利益準備金","6,400,000"
"その他利益剩余金","54,133,602"
"別途積立金","36,376,839"
"繰越利益剰余金","17,756,763"
"自己株式","-500,000"
"純資産の部合計","78,533,602"
"負債及び純資産合計","713,967,196"
