"account","前期額","構成比_0","決算額","構成比_1"
"(資産の部)","0","0","0","0"
"I流動資産","(168,405,577)","(80.2)","(165,114,728)","(79.5)"
"現金及び預金","74,756,705","35.6","81,292,887","39.1"
"受取手形","18,568,940","8.8","19,403,628","9.3"
"売掛金","54,439,935","25.9","41,197,003","19.8"
"有価証券","2,686,909","1.3","2,861,785","1.4"
"棚卸資産","18,562,732","8.8","20,117,475","9.7"
"前払費用","109,000","0.1","839,950","0.4"
"未収入金","3,356","0.0","0","0.0"
"貸倒引当金","-722,000","0.3","-598,000","0.3"
"Ⅱ固定資産","(41,549,175)","(19.8)","(42,667,340)","(20.5)"
"有形固定資産","(41,153,746)","(19.6)","(42,262,921)","(20.3)"
"建物","1,565,551","0.7","1,449,703","0.7"
"構築物","1","0.0","1","0.0"
"機械及び装置","176,360","0.1","139,595","0.1"
"車両運搬具","532,831","0.3","1,794,619","0.9"
"工具、器具備品","3","0.0","3","0.0"
"土地","38,879,000","18.5","38,879,000","18.7"
"無形固定資産","(335,429)","(0.2)","(344,419)","(0.2)"
"リサイクル料","67,220","0.0","76,210","0.0"
"電話加入権","268,209","0.1","268,209","0.1"
"投資その他の資産","(60,000)","(0.0)","(60,000)","(0.0)"
"出資金","60,000","0.0","60,000","0.0"
"Ⅲ繰延資産","(0)","(0.0)","(0)","(0.0)"
"資産の部合計","209,954,752","100.0","207,782,068","100.0"
