"account","金額"
"(資産の部)","0"
"Ⅰ流動資産","(606,250,915)"
"現金及び預金","482,700,955"
"売掛金","99,947,475"
"棚卸資産","8,048,553"
"預け金","11,799,783"
"前払費用","4,639,649"
"未収入金","62,312"
"立替金","52,188"
"貸倒引当金","-1,000,000"
"Ⅱ固定資産","(204,499,847)"
"有形固定資産","(164,968,097)"
"建物","52,714,918"
"構築物","2,767,021"
"機械及び装置","20,587,294"
"車両運搬具","6,819,705"
"工具、器具及び備品","11,017,358"
"土地","71,061,801"
"無形固定資産","(72,590)"
"電話加入権","72,590"
"投資その他の資産","(39,459,160)"
"投資有価証券","3,900,000"
"出資金","100,000"
"差入保証金","945,777"
"敷金","29,868,180"
"長期前払費用","3,388,703"
"入会金・会員権","1,256,500"
"Ⅲ繰延資産","(0)"
"資産の部合計","810,750,762"
"(負債の部)","0"
"Ⅰ流動負債","(288,783,997)"
"買掛金","70,467,493"
"1年以内返済長期借入金","28,776,000"
"未払金","26,690,504"
"未払費用","29,975,421"
"未払法人税等","118,116,800"
"未払消費税等","11,920,200"
"前受金","1,440,000"
"預り金","1,397,579"
"Ⅱ固定負債","(113,276,000)"
"長期借入金","112,076,000"
"預り敷金","1,200,000"
"負債の部合計","402,059,997"
"(純資産の部)","0"
"Ⅰ株主資本","(408,690,765)"
"1.資本金","50,000,000"
"2.資本剰余金","(11,000,000)"
"(1)その他資本剰余金","(11,000,000)"
"資本金資本準備金減少差益","11,000,000"
"3.利益剰余金","(347,690,765)"
"(1)利益準備金","1,880,000"
"(2)その他利益剰余金","(345,810,765)"
"別途積立金","10,000,000"
"繰越利益剰余金","335,810,765"
"Ⅱ評価・換算差額等","(0)"
"Ⅲ新株予約権","(0)"
"純資産の部合計","408,690,765"
"負債・純資産の部合計","810,750,762"
