"account","金","額"
"役員報酬","22,560,000","0"
"給料手当","38,564,622","0"
"賞与","6,054,325","0"
"退臓金","283,000","0"
"法定福利費","10,292,636","0"
"福利厚生費","607,657","0"
"外注費","489,050","0"
"荷造運賃","33,385,545","0"
"広告宣伝費","37,726,317","0"
"接待交際費","1,227,163","0"
"会議費","67,128","0"
"旅費交通費","3,996,632","0"
"通信費","2,782,874","0"
"消耗品費","3,011,204","0"
"事務用消耗品費","2,784,306","0"
"修繕費","223,600","0"
"水道光熱費","1,544,937","0"
"新聞図書費","127,559","0"
"諸会費","242,340","0"
"支払手形料","4,186,123","0"
"車両費","2,021,046","0"
"地代家賃","797,610","0"
"賃借料","10,800","0"
"リース料","4,028,040","0"
"保険料","5,372,735","0"
"租税公課","2,188,432","0"
"支払報酬料","47,000","0"
"減価償却費","3,528,577","0"
"雑費","174,859","0"
"管理諧費","2,238,000","0"
"顧問料","1,300,000","0"
"販売費及び一般管理費合計","0","191,864,117"
