"account","金額"
"(流動資産)","(1,570,469,639)"
"現金及び預金","1,222,406,281"
"受取手形","26,255,023"
"売掛金","234,112,654"
"商品","50,204,181"
"原材料","32,660,309"
"前払費用","5,484,906"
"未収入金","1,366,285"
"貸倒引当金","-2,020,000"
"(固定資産)","(858,131,803)"
"(有形固定資産)","(620,578,600)"
"建物","115,572,973"
"建物付属設備","18,601,599"
"構築物","15,344,859"
"機械装置","82,973,086"
"車両運搬具","28,990,602"
"工具器具備品","1,907,037"
"土地","354,890,746"
"一括償却資産","2,297,698"
"(無形固定資産)","(379,600)"
"電話加入権","342,000"
"ソフトウェア","37,600"
"(投資等)","(237,173,603)"
"出資金","150,740,000"
"保険積立金","62,565,578"
"保証金","540,000"
"投資有価証券","1,560,000"
"預託金","372,330"
"前払保険料","21,242,872"
"保険積立配当金","152,823"
"(繰延資産)","(1,612,408)"
"下水道負担金","726,283"
"社債発行費","886,125"
"資産の部合計","2,430,213,850"
"(流動負債)","(768,168,954)"
"支払手形","304,264,676"
"買掛金","101,507,564"
"短期借入金","20,000,000"
"未払金","211,820,492"
"預り金","18,087,722"
"法人税等充当金","88,593,600"
"未払消費税","23,894,900"
"(固定負債)","(550,527,000)"
"長期借入金","328,815,000"
"社債","100,000,000"
"役員退職給与引当金","121,712,000"
"負債の部合計","1,318,695,954"
"(株主資本)","(1,111,517,896)"
"(資本金)","(14,500,000)"
"資本金","14,500,000"
"(利益剰余金)","(1,097,017,896)"
"利益準備金","3,625,000"
"別途積立金","300,000,000"
"繰越利益剰余金","793,392,896"
"純資産の部合計","1,111,517,896"
"負債及び純資産の部合計","2,430,213,850"
