"account","金額"
"[流動資産]","[1,193,104,892]"
"現金及び預金","194,310,898"
"H売掛金","89,767,622"
"Hカード末収入金","31,979,217"
"H貯蔵品","10,141,437"
"H短期貸付金","400,000,000"
"H短期貸付金F","345,602,611"
"H仮払金","10,770,589"
"H末収入金","102,487,588"
"H前払金","5,926,724"
"H前払費用","3,365,693"
"H貸倒引当金","-1,247,987"
"[固定資産]","[5,120,698,101]"
"(有形固定資産)","(4,647,557,350)"
"H建物","2,689,450,850"
"H建物付属設備","678,788,277"
"H構簗物","86,801,439"
"H機械装置","3"
"H工具器具備品","63,895,778"
"H土地","1,117,125,876"
"H一括償却資産","11,495,127"
"(無形固定資産)","(7,574,178)"
"Hソフトウエア","130,000"
"H温泉利用権","6,588,622"
"H水道施設利用権","1,B55,556"
"(投資その他の資産)","(465,566,573)"
"H出資金","501,500"
"H投資有価証券","321,207,375"
"H敷金","90,000"
"H長期前払費用","6,042,538"
"H保険積立金","87,725,160"
"H長期貸付金","50,000,000"
"資産の部合計","6,313,802,493"
"[流動負價]","[251,732,071]"
"H短期借入金","100,000,000"
"H未払金","95,744,563"
"H未払費用","19,326,895"
"H前受金","22,709,922"
"H源泉預り金","1,023,088"
"H仮受金","8,979,503"
"H未払法人税等","382,600"
"H未払消費税等","3,565,500"
"[固定負債]","[5,288,805,011]"
"H長期借入金","4,742,717,588"
"H長期未払金","65,087,473"
"H資本性借入金","476,000,000"
"負債の部合計","5,535,537,082"
"[株主資本]","[778,265,411]"
"(資本金)","(10,000,000)"
"H資本金","10,000,000"
"(利益剰余金)","(768,265,411)"
"H固定資産圧縮積立金","351,183,803"
"H特別償却調整積立金","142,977,085"
"H特別債却準備金","256,195,053"
"繰越利益剰余金","17,909,470"
"純資産の部合計","778,265,411"
"負債及び純資産の部合計","6,313,802,493"
