"account","金額"
"科目","0"
"(流動資産)","(1,372,030,024)"
"現金及び預金","220,059,508"
"売掛金","294,791,408"
"貯蔵品","36,000"
"前渡金","23,100,740"
"立替金","517,433,584"
"短期貸付金","255,020,914"
"仮払金","1,807,260"
"前払費用","1,622,011"
"未収入金","38,796,876"
"未収家賃","19,359,223"
"預け金","2,500"
"(固定資産)","(10,244,314,354)"
"(有形固定資産)","(9,446,622,367)"
"建物","5,386,371,178"
"建物附属設備","1,249,545,150"
"構築物","106,691,747"
"車両運搬具","127,208,942"
"工具器具備品","6,638,630"
"ー括償却資産","301,152"
"土地","2,555,035,568"
"建設仮勘定","14,830,000"
"(無形固定資産)","(1,233,812)"
"ソフトウエア","702,486"
"電話加入権","531,326"
"(投資その他の資産)","(796,458,175)"
"投資有価証券","314,040,577"
"出資金","122,799,452"
"繰延税金資産","157,050,349"
"差入保証金","22,983,120"
"預託金","245,400"
"積立金","62,537,287"
"繰延消費税","63,016,213"
"会員権","5,402,223"
"長期前払費用","48,383,554"
"破産更生債権","504,868,835"
"貸倒引当金","504,868,835"
"(繰延資産)","(289,338)"
"入会金","289,338"
"資産合計","11,616,633,716"
"科目","0"
"(流動負債)","(347,990,089)"
"買掛金","434,628"
"短期借入金","200,000,880"
"未払金","76,575,225"
"未払費用","2,646,108"
"未払法人税等","43,462,300"
"未払消費税等","12,132,900"
"前受金","99,735"
"預り金","62,020"
"入居者預り金","9,201,500"
"前受家賃","3,374,793"
"(固定負債)","(9,706,022,794)"
"長期借入金","9,229,321,149"
"長期未払金","468,446,145"
"入居者預り敷金","8,255,500"
"負債合計","10,054,012,883"
"純資産の部","0"
"(株主資本)","(1,562,620,833)"
"資本金","5,000,000"
"(資本剰余金)","(5,000,000)"
"資本準備金","5,000,000"
"(利益剰余金)","(1,552,620,833)"
"その他利益剰余金","1,552,620,833"
"圧縮積立金","1,548,037"
"繰越利益剰余金","1,551,072,796"
"純資産合計","1,562,620,833"
"負債・純資産合計","11,616,633,716"
