"account","金","額"
"(売上高)","0","0"
"売上高","1,058,029,802","0"
"売上割戻し高","232,398","0"
"売上高合計","0","1,057,797,404"
"(売上原価)","0","0"
"期首商品棚卸高","112,481,007","0"
"当期商品仕入高","847,979,284","0"
"合計","960,460,291","0"
"他勘定振替高","14,778,079","0"
"期末商品棚卸高","90,897,192","0"
"売上原価","0","854,785,020"
"売上総利益金額","0","203,012,384"
"(販売費及び一般管理費)","0","0"
"販売費及び一般管理費合計","0","191,864,117"
"営業利益金額","0","11,148,267"
"(営業外収益)","0","0"
"受取利息","1,267","0"
"受取配当金","133,900","0"
"雑収入","7,913,769","0"
"営業外収益合計","0","8,048,936"
"(営業外費用)","0","0"
"支払利息","3,648,050","0"
"手形譲渡損","231,339","0"
"営業外費用合計","0","3,879,389"
"経常利益金額","0","15,317,814"
"(特別損失)","0","0"
"固定資産除却損","2","0"
"商品廃棄損","14,778,079","0"
"特別損失合計","0","14,778,081"
"税引前当期純利益金額","0","539,733"
"法人税・住民税及び事業税","0","212,290"
"当期純利益金額","0","327,443"
