"account","金","額"
"(材料費)","0","0"
"期首原材料棚卸高","31,229,091","0"
"原材料仕入高","612,838,459","0"
"小計","(644,067,550)","0"
"期末原材料棚卸高","32,660,309","611,407,241"
"(労務費)","0","0"
"給料手当","268,789,549","0"
"法定福利費","45,750,290","0"
"厚生費","9,681,577","324,221,416"
"(外注加工費)","0","61,018,976"
"(修理経費)","0","0"
"水道光熱費","4,021,189","0"
"工場消耗品費","10,482,339","0"
"減価償却費","89,455,154","0"
"修繕費","15,533,990","0"
"保険料","16,909,639","0"
"車輌費","16,436,107","152,838,418"
"総修理費用","0","(1,149,486,051)"
"当期修理原価","0","(1,149,486,051)"
