"account","金","額"
"役員報酬","2,400,000","0"
"給料手当","10,197,626","0"
"法定福利費","2,415,609","0"
"福利厚生費","4,274,245","0"
"広告宣伝費","165,000","0"
"接待交際費","462,928","0"
"旅費交通費","4,236,181","0"
"通信費","1,378,723","0"
"消耗品費","489,343","0"
"事務用消耗品費","1,894,108","0"
"修繕費","12,583,114","0"
"水道光熱費","4,391,212","0"
"新聞図書費","667,430","0"
"諸会費","2,304,484","0"
"支払手数料","4,635,858","0"
"車両費","259,485","0"
"地代家賃","776,326","0"
"リース料","1,956,304","0"
"保険料","1,579,540","0"
"租税公課","8,330,520","0"
"支払報酬料","25,580,400","0"
"研究開発費","158,355","0"
"減価償却費","4,997,053","0"
"雑費","212,913","0"
"販売費及び一般管理費合計","0","96,346,757"
